location,duty,sallary,time,name
" 滨江区",1、计算机相关专业，两年以上实际Python项目开发实施工作经验；2、精通Python基础，有过开源项目贡献者优先；3、对代码和设计质量有严格要求，重视CodeReview，遵循业界Python代码规范；4、熟悉Scrapy，掌握Python项目性能分析；5、熟悉PythonWebFramework，如Flask，Django；6、熟悉MySQL，redis，MongoDB等数据库；7、熟悉Git，SVN等代码版本控制流程和工具；8、日常开发有单元测试，压力测试、集成测试意识和习惯；9、学习能力强，有足够的好奇心，有良好的沟通能力，具有良好的分析和解决问题的能力。,,"无工作经验,大专,招3人,04-27发布",后端Python
" 良睦路1399号梦想小镇互联网村4号楼2F","岗位要求：  1. 本科以上学历，2年以上工作经验；  2. 熟悉Python开发；  3、了解java开发；  4. 熟悉Linux开发环境，熟悉多线程、网络编程,熟悉TCP/IP通信；熟悉常用的数据结构与算法；  5. 责任心强，主动、好学; 具备良好的分析解决问题能力，能独立承担任务。",,"3-4年经验,本科,招2人,04-27发布",Python开发工程师
" 天城路91号",职责：（1）负责公司数据处理中心的开发和维护工作；（2）编写相关系统的使用说明书；（3）负责公司软件系统的功能测试和调试；（4）参与公司软件的需求分析和功能规划。说明：工作时间：周一到周五，周末双休，8小时工作制；加薪：一切靠实力说话，实力够强，水涨船高,,"无工作经验,大专,招3人,04-27发布",Python开发/直招
" 天城路91号","（1）学历高中以上，有一定的知识接受能力；（2）对python开发有较大兴趣，想要往python开发方向发展；（3）有一定的逻辑思维能力；（4）有一定的意志力，能够一往如既的坚持学习下去。就业前景：（1）Python人才需求量每日高达5000+,但目前市场上会Python的程序员少之又少,竞争小，很容易快速高薪就业；（2）Python会成为继C++和Java之后的第三个主流编程语言；（3）就业方向：移动端设计、大数据人工智能、VR虚拟现实、Web开发、通用开发、科学类开发和数据分析、Python全栈工程师、Python开发工程师、自动化开发工程师、Linux运维工程师、Python爬虫开发工程师、金融自动化交易、前端开发工程师等职位；（4）就业待遇：2017年Python全国就业平均薪资16080/月，取自21350份样本。",,"无工作经验,大专,招3人,04-27发布",python人工智能带薪实习
" 杭州市西湖区文三路259号昌地火炬大厦","岗位职责：1、负责数据抓取系统的设计、开发和维护工作；2、设计抓取策略，改进调度算法，减少系统延迟，提升整体吞吐率；3、建立完整的数据获取、解析、入库和监控流程，优化系统瓶颈不断迭代完善；4、负责数据清洗、数据挖掘等相关工作；任职要求：1、专科以上学历，计算机相关专业，熟悉Python语法，两年python语言开发经验；2、熟悉HTTP/HTTPS协议、TCP/UDP、熟悉Socket、多线程、多进程编程，了解Shell编程；3、熟悉使用urllib、urllib2、requests、urllib.requests、urllib.parse、等网络模块；4、熟悉使用lxml、BeautifulSoup、正则、及json模块进行数据提取；5、熟悉Xpath语法规则和各CSS Selector的使用；6、熟练使用Selenium+PhantomJS(headless Chrome)实施动态HTML抓取；7、熟悉Scrapy, crawl Scrapy及Scrapy-redis分布式框架；8、熟练掌握Django框架下的Web后台业务编程，熟悉MVC框架开发；9、了解Flask和Tornado框架下的Web后台业务编程；10、熟悉应用MySQL、Redis、MongoDB数据库设计及SQL语句；11、了解数据结构，排序算法，熟悉各种常见设计模式；12、了解Javascript、Jquery、CSS、AJAX、HTML、Bootstrap、react等前端开发。",,"无工作经验,招3人,04-27发布",五险Python开发工程师助理
" 杭州市天目山路238号华鸿大厦A座702室",,,"5-7年经验,大专,招若干人,04-24发布",Python开发工程师
" 西兴街道科技馆街626号中海寰宇商务中心B座405室",岗位职责：负责服务端开发。1 与B/S架构的系统开发与维护，撰写相关技术文档2 能完成接口的封装与优化3 参与后台通信服务的性能优化与维护岗位要求：1、大专及以上学历，可接受2018届毕业生。2、能够熟练使用python进行快速开发，至少使用过一个python的web框架（例如django、tornado）3、熟悉mysql的用法，了解redis缓存的使用4、掌握pycharm、svn等工具的使用，了解linux常用命令5、熟悉javascript编程，会使用jquery、angularjs者优先6、较好的学习能力、抗压能力、沟通能力，能独立思考和解决问题。7、工作积极主动、认真负责。                   ,"社会保险,标准工时,生日福利,定期体检","无工作经验,大专,招1人,04-24发布",Python开发工程师
" 西湖科技园",,"五险一金,员工旅游,餐饮补贴,年终奖金,专业培训,周末双休","1年经验,本科,招1人,04-25发布",Python开发工程师
" 六和路368号海创基地一幢（北）一楼",,"五险一金,员工旅游,交通补贴,餐饮补贴,出国机会,绩效奖金,年终奖金,股票期权,弹性工作,定期体检","2年经验,本科,招1人,04-25发布",Python开发工程师
" 杭州市滨江区信诚路857号世茂中心23楼",,,"2年经验,本科,招1人,04-25发布",Python工程师（中高级）
