location,duty,sallary,time,name
" 滨盛路1786号汉氏大厦405","北京中云微迅信息技术有限公司定位于云服务和移动互联网领域，为传统及创新产业提供多样板、全方位、个性化的整体云解决方案，2015年成为腾讯全国战略服务商。旗下全资子公司&mdash;&mdash;杭州云容科技有限公司，成立于2015年11月，坐落于杭州高新区，2017年荣获&ldquo;杭州市高新技术企业&rdquo;。公司核心团队均是来自华为、网易、浙大网新、新华三等知名IT企业。秉承着锐意进取、开拓创新的精神聚焦云计算IaaS、PaaS的技术研发和云平台管理、运维，致力于为政府、企事业单位等客户提供专业的云咨询、云建设和云制定开发等全方位的专业云服务。岗位职责：1、负责web后端开发任务；2、负责有关技术方案、文档的编写。任职要求：1、1年以上Python开发经验，熟练使用Python常用模块和第三方模块、框架；熟悉Django/Flask或其他Python Web开发框架（至少一种）；2、 熟悉web开发流程及前后端分离开发模式，了解基本的前端框架和调试方法；3、 熟悉Linux系统开发环境，并具备一定的Linux使用维护经验；4、熟悉MySql/influxdb/mongodb等数据库（至少一种）；5、扎实的程序设计基础, 熟悉常用的数据结构；6、 具备较好的学习能力、问题分析能力，可以独立定位解决问题；                                                7、具备web前后端全栈开发经验者优先考虑。","五险一金,弹性工作,团体意外险,节日福利,公司氛围好,潜力行业,公司产品给力","无工作经验,大专,招1人,04-27发布",python开发工程师
" 滨江区江虹路611号上峰电商产业园3号楼",职位描述：负责公司核心业务系统开发维护，独立、协作完成数据采集模块的设计；任职条件：1、有1年以上 Python 编程经验；2、熟悉算法与数据结构；3、熟练运用Python语言及常用模块，熟悉 Python 中多线程、多进程及网络开发等模块；4、熟悉使用正则表达式、BeautifulSoup、csv、requests，selenium等模块;5、有一定的前端开发基础，了解HTML、 Javascript开发；6、有爬虫开发经验，热爱数据采集相关工作者优先；7、熟悉NoSQL数据库（MONGODB等）相关技术者优先；8、熟悉 Java，PHP，Ruby 相关技术者优先。,,"1年经验,招1人,04-27发布",Python工程师
" 上城区中河中路198号绿都商务大厦",岗位职责：1、前置影像、报告业务系统、自动化运维及业务监控系统接入前端设计及开发2、负责前置系统技术选型、架构设计3、OSS、AWS等第三方存储接入开发4、医院系统数据对接开发5、前置业务系统实施技术支持及指导 6、医院前置系统运行维护及故障排除岗位要求：1、精通或熟练使用Python语言，有4年以上Python开发经验2、有大型OLTP系统或者分布式系统设计或者开发经验3、熟悉Linux，熟悉kafka 客户端接入开发，有较强的探索新技术的欲望和能力4、熟悉oracle等常用数据库操作及相关开发5、熟悉saltstack，zabbix，ELK等开源运维平台及使用相关API集成开发6、有较强责任心，工作主动积极，敢于担当4、良好的沟通能力和团队合作精神，良好的学习能力，并且有兴趣学习钻研新技术。,"五险一金,餐饮补贴,通讯补贴,交通补贴,员工旅游,年终奖金,朝九晚五,周末双休","3-4年经验,本科,招2人,04-27发布",Linux python开发运维
" 文一西路恒生科技园31幢","职位描述：岗位职责：1、负责数据抓取系统的设计、开发和维护工作；2、设计抓取策略，改进调度算法，减少系统延迟，提升整体吞吐率；3、建立完整的数据获取、解析、入库和监控流程，优化系统瓶颈不断迭代完善；4、负责数据清洗、数据挖掘等相关工作；任职要求：1、统招本科，计算机相关专业，熟悉Python语法，两年python语言开发经验；2、熟悉HTTP/HTTPS协议、TCP/UDP、熟悉Socket、多线程、多进程编程，了解Shell编程；3、熟悉使用urllib、urllib2、requests、urllib.requests、urllib.parse、等网络模块；4、熟悉使用lxml、BeautifulSoup、正则、及json模块进行数据提取；5、熟悉Xpath语法规则和各CSS Selector的使用；6、熟练使用Selenium+PhantomJS(headless Chrome)实施动态HTML抓取；7、熟悉Scrapy, crawl Scrapy及Scrapy-redis分布式框架；8、熟练掌握Django框架下的Web后台业务编程，熟悉MVC框架开发；9、了解Flask和Tornado框架下的Web后台业务编程；10、熟悉应用MySQL、Redis、MongoDB数据库设计及SQL语句；11、了解数据结构，排序算法，熟悉各种常见设计模式；12、了解Javascript、Jquery、CSS、AJAX、HTML、Bootstrap、react等前端开发。","年终奖金,绩效奖金,股票期权,五险一金,双休,专业培训,弹性工作,员工旅游","无工作经验,招1人,04-27发布",python/爬虫工程师
" 杭州市滨江区江南大道3688号潮人汇大厦10楼",,"员工旅游,交通补贴,通讯补贴,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检,弹性工作","1年经验,大专,招1人,04-27发布",Python开发工程师
" 杭州",岗位要求：1、本科以上学历，2年以上大型在线服务相关开发经验；2、精通Python，熟悉Django、Flask、Tornado等常见的Python web架构，至少精通其中一种;3、精通PostgreSQL，熟悉MySql/MongoDB/Redis/Memcache等；4、熟悉H5、CSS、Javascript等前端技术者优先；有过企业erp实施开发经验者优先。5、具备良好的代码编程习惯及较好的文档编写能力；,"五险一金,员工旅游,年终奖金,绩效奖金,专业培训,定期体检,弹性工作,餐饮补贴","2年经验,招若干人,04-27发布",Python开发工程师
" 杭州西湖区文二路212号高新大厦7F",岗位职责：1.负责产品需求分析，对产品的原始需求做总结分析，架构设计，原型实现工作；2.封装、优化系统所需的接口，并撰写相关的技术文档。任职要求：1．本科及以上学历，一年以上工作经验，能独立开发，具有很强的用户思维和产品意识；2. 能够熟练使用python进行快速开发，至少掌握一个python web框架的使用（例如flask、tornado、django web）；3. 熟悉celery、APScheduler定时任务框架4. 熟悉mysql的用法，了解redis，memcached等缓存的使用  5. 熟悉Javascript编程，会使用Vue.js、angularjs者优先6. 熟练掌握nginx，samba，nfs的配置 7. 掌握pycharm、git等工具的使用，能够在linux服务器部署python程序；8. 思路清晰，具有较强的学习能力和解决实际问题的能力，对新技术始终保持较高关注度；,"五险一金,绩效奖金,年终奖金,股票期权,餐饮补贴,专业培训","无工作经验,招若干人,04-27发布",Python开发工程师
" 杭州市西湖区塘苗路18号华星现代产业园B座4F","职位描述：1、参与移动证券软件项目周期的大部分工作，包括分析、设计、开发等工作；2、能够根据项目的实际需要，进行技术方案的分析、选型；3、发现和解决系统开发中存在的技术问题，解决关键的技术难题；4、主要方向: 后台管理，数据分析。对人工智能及大数据有浓厚兴趣者优先。岗位要求：1、本科及以上学历，计算机相关专业；2、熟练使用Python standard library 熟悉常用的第三方模块；3、2年左右Python开发经验, 一年以上python服务端开发经验 ；4、熟练掌握Python web开发框架，精通Flask或者其他Python Web开发框架者优先；5、熟练掌握数据库设计与优化，精通掌握PostgresSql者优先；6、熟悉Linux操作系统，熟悉Apache/Tomcat/Ngnix等Web Server的部署和应用；7、有numpy,pandas数据分析经验者优先；8、具备良好的编码习惯及开发文档书写习惯；9、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力。","五险一金,餐饮补贴,年终奖金,股票期权,交通补贴,周末双休,员工旅游","2年经验,招若干人,04-27发布",Python开发工程师
" 下沙经济技术开发区科技园路",职业背景：人工智已经走进我们的生活，越来越多的工作都将被人工智能替代！未来50年将是人工智能的天下，来得有些突然，以至于目前国内大学还没有开设人工智能专业，这既是挑战，又是机遇。所有企业，几乎都想把握人工智能这个淘金的新“风口”，与如此火爆行业相对应的却是人才的严重匮乏，一名入门级的AI工程师月薪轻松就可以拿到15K，中、高级工程师，企业更是给出30万到150万的年薪；人工智能与Pythonpython是人工智能领域中使用较广泛的编程语言之一，它可以无缝地与数据结构和其他常用的AI算法一起使用，因为适用于大多数AI，所以Python成为了AI编程语言之首。Python简单易用、高效，智能，语法更贴近英语，大专学历、跨专业完全可以成为一名python工程师；岗位条件：1. 专科以上学历，有较强的学习能力，热爱并有兴趣从事互联网工作。,"五险一金,餐饮补贴,免费班车,员工旅游,绩效奖金,年终奖金,交通补贴,股票期权,周末双休","无工作经验,大专,招4人,04-27发布",Python开发实习生
" 建业路511号华业大厦","任职要求       发框架(react, vue 等至少一种)   4. 熟练掌握 CANVAS 等前端绘图技术, 能够使用原生  API 进行图像绘制, 有图像处理经验优先   5. 精通至少一种常用数据库, 如 MySQL, PostgreSQL, MongoDB, 了解常见的数据库优化技巧   6. 熟悉 Linux 开发环境, 熟悉 Linux shell 常用命令，熟悉 TCP/IP 以及 HTTP 协议                                                  ","周末双休,弹性工作,五险一金,节日福利,专业培训,交通补贴,餐饮补贴,通讯补贴","无工作经验,本科,招2人,04-27发布",python-web 全栈工程师
" 文一西路1001号衢时代A座2层",职位描述：    1. 负责产品需求分析，对产品的原始需求做总结分析        2. 负责后端产品的架构设计、优化；        3. 负责产品的业务逻辑接口开发；        4. 参与方案讨论和技术调研。            1. 精通Python开发，熟练使用Python标准库和流行的第三方库        2. 熟悉Linux、Shell、以及其常用命令        3. 熟悉TCP/IP协议及HTTP协议        4. 熟练使用mysql，熟悉mysql的各种存储引擎，熟悉索引工作原理，有丰富的mysql性能优化经验        5. 熟悉Git、MySQL、Redis等相关技术        6. 有大数据平台开发经验优先        7. 熟悉Flask、Django等开源框架优先    ,"五险一金,补充医疗保险,员工旅游,餐饮补贴,年终奖金,股票期权,绩效奖金,弹性工作","2年经验,中专,招1人,04-27发布",Python开发工程师
" 杭州西湖区三墩 西园七路8号西湖科技园","岗位职责：参与组内相关产品的开发工作，偏重人工智能AI方向（图像识别，语音识别，NLP语义理解）。招聘要求：1、 计算机或数学等相关专业，专科及以上学历。2、 有1年以上Python开发经验，能独立完成需求、设计、研发、自测、打包等工作。3、 熟练掌握Python语言，熟悉python数据分析类库，如numpy、pandas。4、 熟悉python的Restful API常用框架，及Python web框架如：Django、Tornado、Flask。5、 熟悉Linux系统，熟悉爬虫框架,如Scrapy,webmagic等。6、 熟悉数据库mysql、oracle等。7、 拥有良好的代码编写风格，了解技术文档编写规范具有良好的学习能力、团队协作能力和沟通能力。8、 责任心强，善于思考，能独立分析和解决问题。9、 有下列相关技术或经验者优先：1) 有爬虫经验；2) 熟悉当前流行的NoSQL技术；3) 熟悉分布式平台（Hadoop/Spark）工作原理；4) 对数据分析、文本挖掘有浓厚兴趣，熟悉常用的语义分析方法。","五险一金,年终奖金,专业培训,通讯补贴,餐饮补贴","2年经验,大专,招1人,04-27发布",Python开发工程师
