,name,sallary,duty,location,time
0,郑州喔嘟教育科技有限公司,6-8千/月,PHP开发工程师,郑州-金水区,02-09
1,上海国际广告展览有限公司,0.8-1.5万/月,PHP开发工程师,杭州-江干区,02-09
2,杭州联汇科技股份有限公司,1-1.5万/月,PHP开发工程师,杭州-滨江区,02-09
3,海口达内科技有限公司,3-4.5千/月,急聘PHP开发实习助理,海口,02-09
4,上海融果金融信息服务有限公司,1.2-2万/月,PHP高级开发工程师,上海-杨浦区,02-09
5,北京青柠檬科技有限公司,1.5-2万/月,PHP项目讲师,郑州,02-09
6,深圳颐泉网络科技有限公司,1-2万/月,PHP程序员,深圳-龙岗区,02-09
7,广东领尚环球之家商贸发展有限公司,1-1.5万/月,PHP工程师,佛山,02-09
8,南京瑞旭产品技术有限公司,0.8-1万/月,PHP开发工程师,南京,02-09
9,北京众标智能科技有限公司,1-1.5万/月,Python开发工程师,上海-徐汇区,02-09
10,摩诃科技无锡有限公司,4-8千/月,PHP开发工程师,无锡-无锡新区,02-09
11,北京时代一峰信息技术有限公司,0.8-1.5万/月,高级PHP开发工程师,西安-高新技术...,02-09
12,上海汉州互联网金融信息服务有限公司,1-2万/月,PHP后台开发工程师,上海-黄浦区,02-09
13,丽人丽妆,1.5-2万/月,PHP程序工程师,上海-徐汇区,02-09
14,无锡广华科技有限公司,0.8-1万/月,Python开发工程师,无锡-滨湖区,02-09
15,深圳开黑科技有限公司,1.5-2.5万/月,高级Python开发工程师,深圳-南山区,02-09
16,北京根网科技有限公司,1-1.8万/月,Python开发工程师,北京,02-09
17,大连焱展信息技术有限公司,3-4.5千/月,PHP实习生,大连-沙河口区,02-09
18,重庆推猫科技有限公司,0.7-1.2万/月,后端程序开发工程师PHP,重庆-渝北区,02-09
19,北京易二零环境股份有限公司,1-1.5万/月,PHP程序员,北京,02-09
20,郴州七啸网络科技有限公司,0.8-2万/月,PHP开发工程师,武汉-武昌区,02-09
21,北京爱美商通资讯科技有限公司,1.5-2.5万/月,PHP工程师,北京-大兴区,02-09
22,青岛格鲁津商贸有限公司,0.8-1.2万/月,PHP高级开发工程师,青岛,02-09
23,成都励慧网络科技有限公司,0.8-1.5万/月,Python开发工程师,成都,02-07
24,南京正诺软件技术有限公司,6-8千/月,实习嵌入式/Java/php开发助理,南京-玄武区,02-09
25,无锡超正软件有限公司,0.6-1万/月,Python开发工程师（弹性工作）,成都,02-09
26,好利网,1.5-2.5万/月,Python开发工程师,上海-杨浦区,02-09
27,广州优亿信息科技有限公司,0.5-1万/月,Python开发工程师,长沙,02-09
28,成都优啦信息技术有限公司,1-1.5万/月,Python开发工程师,成都-高新区,02-09
29,南京共捷信息技术有限公司,1-2万/月,PHP高级开发工程师,上海-徐汇区,02-09
30,成都趣乐多科技有限公司,0.8-1.5万/月,运维&python开发工程师（高级）,成都,02-08
31,吉利集团（总部）,0.8-1.5万/月,Python开发工程师,杭州,02-09
32,无锡万讯汇通信息技术有限公司,6-8千/月,PHP开发工程师,无锡-滨湖区,02-09
33,苏州天宫艺品文化传媒有限公司,0.8-1万/月,PHP中级开发工程师,苏州-姑苏区,02-09
34,上海晓信信息科技有限公司,1-1.8万/月,PHP中级开发工程师,上海-普陀区,02-09
35,唐山天啦噜网络科技有限公司,5-8千/月,程序员（PHP工程师）,唐山,02-09
36,南京美莱美容医院有限公司,0.5-1.2万/月,程序员/PHP程序员/微信开发工程师,南京-鼓楼区,02-09
37,雅丽洁集团,0.8-1万/月,php开发工程师,广州-天河区,02-09
38,国旅集团上海有限公司商务会奖部,1-1.5万/月,PHP开发工程师,上海,02-09
39,YOKA时尚网,1-1.8万/月,中级PHP开发工程师,北京,02-09
40,杭州轻触科技有限公司,1-2万/月,Python开发工程师,上海-徐汇区,02-07
41,笨鸟社交,0.8-1.5万/月,Python开发工程师,厦门,02-07
42,数据堂（北京）科技股份有限公司,0.6-1万/月,Python开发工程师,北京-海淀区,02-07
43,上海君众信息科技有限公司,6-9千/月,Python开发工程师,无锡-滨湖区,02-07
44,福建润商网络技术有限公司,0.8-1万/月,PHP主管,福州-鼓楼区,02-09
45,高培（广州）乳业有限公司,4-8千/月,PHP程序员,广州-增城,02-09
46,北京中科建友科技股份有限公司,1-1.5万/月,PHP开发工程师_zml,北京-海淀区,02-09
47,成都新大瀚人力资源管理有限公司,1.5-2.5万/月,高级PHP开发工程师(年后面试）,杭州-拱墅区,02-09
48,广州毕方信息科技有限公司,4.5-7千/月,PHP,广州-天河区,02-09
49,上海莉莉丝科技股份有限公司,1.5-2万/月,Python开发工程师,上海,02-09
50,徐州友趣网络科技有限公司,0.6-1万/月,Python开发工程师,南京-雨花台区,02-09
51,上海博达数据通信有限公司,8-10万/年,Python开发工程师,异地招聘,02-09
52,广东唯一网络科技有限公司,0.8-1.2万/月,PHP开发工程师,东莞,02-09
53,广州无邪生物科技有限公司,0.8-1.3万/月,高级PHP开发工程师,广州-荔湾区,02-09
54,合肥金而惠信息科技有限公司,3-4.5千/月,PHP工程师助理程序员,合肥,02-09
55,武汉微思敦网络技术有限公司,2-3万/月,高级Python开发工程师（深圳）,深圳-南山区,02-08
56,长沙聚簇云网络科技有限公司,0.5-1万/月,Python开发工程师,长沙-岳麓区,02-09
57,山东海颐数字技术有限公司,6-8千/月,Python开发工程师,济南,02-09
58,索菲亚家居股份有限公司,6-8千/月,PHP开发工程师,广州-天河区,02-09
59,北京世名博星科技发展有限公司,4-7.9千/月,PHP开发工程师,大连-高新园区,02-09
60,杭州图华科技有限公司,0.5-1.2万/月,PHP开发工程师,沈阳-铁西区,02-09
61,南京易睿网络科技有限公司,0.8-1.4万/月,PHP开发工程师（五险一金、丰厚奖金）,南京-建邺区,02-09
62,苏州衣香云企业管理咨询有限公司,6-8千/月,PHP开发工程师,苏州-工业园区,02-09
63,广州先迈商贸有限公司,1-2万/月,PHP高级/技术主管+双休+午餐,广州-天河区,02-09
64,河南赛乐金网络科技有限公司,6-7千/月,商城建设PHP工程师,郑州,02-09
65,山东桥通天下网络科技有限公司,6-8千/月,PHP高级开发工程师,济南,02-09
66,上海快屏网络科技有限公司,1-1.5万/月,Python开发工程师,上海-浦东新区,02-09
67,安徽丽鑫智能科技有限公司,1-1.5万/月,python开发工程师  薪资10000以上,合肥-庐阳区,02-07
68,深圳市合元科技有限公司,1-1.5万/月,Python开发工程师,深圳-宝安区,02-07
69,深圳市腾讯计算机系统有限公司,,15575-王者荣耀社交产品python开发工程师,成都,02-07
70,武汉白虹软件科技有限公司,0.8-1.3万/月,PHP中级开发工程师,武汉,02-09
71,湖南同飞电力调度信息有限责任公司,10-15万/年,PHP高级开发工程师,长沙-天心区,02-09
72,佛山市陈村花卉世界信息科技有限公司,4.5-6千/月,PHP高级程序员,佛山,02-09
73,北京腾信软创科技股份有限公司,6-8千/月,Python开发工程师,北京-海淀区,02-09
74,广州爱拍网络科技有限公司,0.7-1.2万/月,QT/Python开发工程师,广州,02-09
75,广州市汇美时尚集团股份有限公司,1-1.5万/月,Python开发工程师,广州,02-09
76,杭州盈穗软件科技有限公司,1-1.5万/月,PHP开发工程师,广州,02-09
77,深圳市睿联数字技术有限公司,1-1.5万/月,PHP工程师,深圳-南山区,02-09
78,武汉安敏信诚科技有限公司,1.2-2万/月,PHP开发工程师,武汉-洪山区,02-09
79,任子行网络技术股份有限公司,0.6-1.2万/月,python开发工程师,武汉-洪山区,02-08
80,360金融,2-3万/月,Python开发工程师,北京-朝阳区,02-08
81,西藏国路安科技股份有限公司,1.5-2.5万/月,Python开发工程师,北京-海淀区,02-09
82,上海起初信息技术有限公司,6-8千/月,Python开发工程师（高薪双休）,上海-杨浦区,02-09
83,广州市东域信息科技有限公司,0.8-1.6万/月,PHP高级开发工程师,广州-天河区,02-09
84,海风教育-K12 在线一对一,1.5-2万/月,PHP,上海-静安区,02-09
85,金华市爱米跨境电子商务有限公司,6-8千/月,PHP程序员,金华,02-09
86,抚州国盛网络科技服务有限公司,6-8千/月,PHP开发工程师,抚州,02-09
87,合联国际货运代理有限公司,0.6-1.6万/月,PHP开发工程师,广州-白云区,02-09
88,北京国双科技有限公司,1.5-2万/月,高级python开发工程师,北京,02-09
89,上海傲硕信息科技有限公司,1.2-1.8万/月,高级Python开发工程师,上海-浦东新区,02-09
90,上海犀语科技有限公司,0.8-1.6万/月,Python开发工程师（数据处理）,上海-杨浦区,02-06
91,长沙孚中数据科技有限公司,1-1.5万/月,Python开发工程师,长沙-岳麓区,02-06
92,郑州景赢网络技术有限公司,0.8-1万/月,php开发工程师,郑州-高新区,02-09
93,上海鱼耀金融信息服务有限公司,0.6-1万/月,php开发校招岗,上海-长宁区,02-09
94,上海九霄祥云网络科技股份有限公司,5-8.5千/月,PHP工程师,南京-秦淮区,02-09
95,苏州玩友时代科技股份有限公司,1-2万/月,Python开发工程师,苏州-工业园区,02-09
96,康博嘉信息科技（北京）股份有限公...,4.5-6千/月,Python开发工程师,武汉,02-09
97,深圳阳光整形美容医院有限公司,0.8-1.5万/月,PHP开发工程师,深圳,02-09
98,河北美行迈程科技有限公司,3-5千/月,初级PHP开发带薪实习（非专业均可）,石家庄,02-09
99,贵阳朗玛信息技术股份有限公司,6-8千/月,PHP开发工程师(语玩),贵阳,02-09
100,翔傲信息科技（上海）有限公司,1.5-2万/月,高级Python开发工程师（产品开发）,上海-普陀区,02-08
101,北京新大陆时代教育科技有限公司,6-8千/月,Python开发工程师,福州,02-08
102,彩讯科技股份有限公司,0.8-1.2万/月,Python开发工程师,广州-天河区,02-08
103,湖北航天信息技术有限公司,0.4-1.2万/月,Python开发工程师,武汉-武昌区,02-09
104,大连融众科技有限公司,1-1.5万/月,Python开发工程师,异地招聘,02-09
105,深圳合纵能源技术有限公司,0.8-1.5万/月,Python开发工程师,深圳,02-09
106,广州中望龙腾软件股份有限公司,0.8-1万/月,PHP开发工程师,广州-天河区,02-09
107,石家庄融商伟业电子有限公司,3-5.9千/月,PHP开发工程师,石家庄,02-09
108,上海百胜软件股份有限公司广州分公司,0.6-1万/月,PHP开发工程师,广州-天河区,02-09
109,上海牛邦网络科技有限公司,6-8千/月,PHP开发工程师,武汉-武昌区,02-09
110,苏州大业三维打印技术有限公司,0.6-1万/月,PHP网站开发工程师,苏州,02-09
111,深圳市腾讯计算机系统有限公司,,19332-高级PHP开发工程师（上海）,上海,02-09
112,湖南康通电子股份有限公司,8-10万/年,Python开发工程师,长沙,02-09
113,北京中油瑞飞信息技术有限责任公司,1.5-2.5万/月,Python开发工程师,北京-昌平区,02-09
114,广州君和信息技术有限公司,0.5-1万/月,python开发工程师,广州-越秀区,02-09
115,郑州创恒实业有限公司,5-8千/月,python开发工程师,郑州-金水区,02-09
116,广州新嵘信息产业有限公司,6-8千/月,python开发工程师,广州-海珠区,02-06
117,上海寰享网络科技有限公司,1-1.5万/月,Python开发工程师,上海-长宁区,02-06
118,上海易宝软件有限公司杭州分公司,1-1.5万/月,Python开发工程师,杭州-滨江区,02-06
119,四川君诚互动科技有限公司,0.8-1.2万/月,Python开发工程师,成都,02-06
120,北京蚂蜂窝网络科技有限公司,1-1.5万/月,PHP开发工程师,北京-朝阳区,02-09
121,浙江嘉丁科技有限公司,0.8-1万/月,PHP程序员,宁波-鄞州区,02-09
122,上海湿腾电器有限公司,1-1.5万/月,PHP高级开发工程师,上海,02-09
123,上海融斗金融信息服务有限公司,1-2万/月,中高PHP开发工程师xybt,上海-长宁区,02-09
124,杭州他山网络技术有限公司,1-1.5万/月,PHP开发工程师,杭州-江干区,02-09
125,竹间智能科技（上海）有限公司,1.8-4万/月,Python开发工程师,上海,02-09
126,深圳市乐易网络股份有限公司,1.5-3万/月,python开发工程师,深圳-南山区,02-09
127,成都捷云智慧科技有限公司,0.6-1.2万/月,Python开发工程师,成都,02-09
128,星美控股集团有限公司,0.8-2万/月,PHP开发工程师,深圳-福田区,02-09
129,广州肌言堂生物科技有限公司,1-1.8万/月,PHP+MYSQL高级工程师,广州,02-09
130,南京易投贷金融信息服务有限公司,1.5-2万/月,PHP中级开发工程师,北京-朝阳区,02-09
131,齐著云科技（上海）有限公司,0.8-1.2万/月,PHP开发工程师,上海-长宁区,02-09
132,深圳市艾鑫承科技有限公司,1-1.5万/月,Python开发工程师,深圳-罗湖区,02-08
133,楼盘网,6-9千/月,Python开发工程师,长沙,02-08
134,南京华讯方舟通信设备有限公司,0.8-1.5万/月,Python开发工程师,南京,02-08
135,南京优玛软件科技有限公司,0.8-1.2万/月,Python开发工程师（工作地点：江宁）,南京-江宁区,02-09
136,西安唐远信息科技有限公司,0.5-1万/月,Python开发工程师,西安-曲江文化...,02-09
137,北大医疗信息技术有限公司,0.6-1.2万/月,Python开发工程师,北京-海淀区,02-09
138,安徽海茗兰传媒科技有限公司,1-2万/月,PHP开发工程师,合肥,02-09
139,广州淘金侠科技有限公司,1-1.5万/月,PHP开发工程师,广州-海珠区,02-09
140,苏州空谷网络科技有限公司,4.5-6千/月,PHP网站后台工程师,苏州,02-09
141,江苏怡科生物医疗科技有限公司,4-8千/月,PHP软件工程师,常州,02-09
142,大连唯展科技发展有限公司,0.9-1.8万/月,php开发工程师,大连-高新园区,02-09
143,武汉企秀网络科技有限公司,1-1.5万/月,PHP中级开发工程师,武汉,02-09
144,BUYDEEM北鼎科技,1.6-2.2万/月,PHP高级开发工程师,深圳-南山区,02-09
145,武汉经开华盟进出口有限公司,0.8-1万/月,PHP研发工程师,武汉-武汉经济...,02-09
146,厦门市盈拓商务有限公司,6-8千/月,PHP开发工程师,厦门,02-09
147,深圳回收宝科技有限公司,1.5-2万/月,PHP开发工程师,深圳-南山区,02-09
148,沈阳曙马科技有限公司,4.5-6千/月,Python开发工程师,沈阳-浑南区,02-09
149,上海锦游网络技术有限公司,1-1.5万/月,python开发工程师,上海,02-09
150,广州佰聆数据股份有限公司,0.6-1万/月,Python开发工程师,广州-黄埔区,02-09
151,深圳市和讯华谷信息技术有限公司,1.2-2.4万/月,Python开发工程师,深圳-南山区,02-06
152,上海尚勤信息技术有限公司,0.8-1万/月,Python开发工程师(实习生),上海-嘉定区,02-06
153,百融（北京）金融信息服务股份有限...,1-2万/月,Python开发工程师,北京,02-06
154,上海进馨网络科技有限公司（纳米盒）,1-2.5万/月,Python开发工程师,上海-浦东新区,02-06
155,南京苏宁软件技术有限公司,1.5-3万/月,Python开发工程师（研究院）(009768),南京-玄武区,02-06
156,苏州智佰家装饰工程有限公司,5-7千/月,PHP开发工程师,苏州-吴中区,02-09
157,上海车盈网络科技有限公司,0.8-1.3万/月,高薪急聘PHP开发工程师+五险一金+周末双休,无锡,02-09
158,深圳市华创科新科技有限公司,1-1.5万/月,PHP开发工程师,深圳-南山区,02-09
159,四川文鼎文化科技有限责任公司,6-8千/月,PHP开发工程师,成都-青羊区,02-09
160,长沙德尚网络科技有限公司,3-4.5千/月,php程序员,长沙,02-09
161,昆山能脉信息科技有限公司,1-1.5万/月,Python开发工程师,异地招聘,02-09
162,上海果雪信息科技有限公司,1.5-2万/月,Python开发工程师,上海-闵行区,02-09
163,上海极贝网络科技有限公司,6-8千/月,Python开发工程师,上海,02-09
164,杭州纳帕科技有限公司,0.8-1.5万/月,Python开发工程师,杭州,02-09
165,成都迈思信息技术有限公司,0.7-1.3万/月,Python开发工程师,成都,02-09
166,观澜网络(杭州)有限公司--丁香园,2-4千/月,PHP实习生,杭州,02-09
167,上海荧客网络科技有限公司,1-1.5万/月,PHP工程师,上海-徐汇区,02-09
168,广东东华发思特软件有限公司,6-8千/月,PHP开发工程师,广州,02-09
169,北京网高科技股份有限公司,6-9千/月,高级PHP网站技术开发,北京,02-09
170,北京新恒基房地产集团有限公司,1-1.5万/月,Python开发工程师,北京-朝阳区,02-08
171,上海高重信息科技有限公司,0.7-1.5万/月,Python开发工程师,上海-杨浦区,02-08
172,上海炽聚网络科技有限公司,1.2-2万/月,Python开发工程师,深圳,02-08
173,湖南智思电子商务有限公司,1-1.5万/月,Python开发工程师,长沙-天心区,02-08
174,浙江胄天科技股份有限公司,1-2万/月,python开发工程师,杭州,02-08
175,上海云逐信息技术有限公司,1-1.5万/月,Python开发工程师,上海-虹口区,02-08
176,南京睿毅云信息技术有限公司,1.5-2万/月,Python开发工程师,南京-玄武区,02-08
177,GQY视讯股份有限公司,1-1.5万/月,Python开发工程师,上海-黄浦区,02-08
178,广州锦行网络科技有限公司,0.6-1万/月,Python开发工程师,广州-越秀区,02-08
179,校宝在线（杭州）科技股份有限公司,0.8-1.5万/月,python开发工程师,杭州,02-08
180,杭州龙雀科技有限公司,5-7千/月,PHP开发工程师,杭州,02-09
181,海南易鼎天成电子科技有限公司,3-4.5千/月,PHP&JAVA程序员,海口,02-09
182,广州慧嘉元天广告传媒有限公司,2.5-3万/月,PHP架构师,广州-越秀区,02-09
183,广州朗讯猛虎汽车检测有限公司,0.7-1.2万/月,PHP开发工程师,广州-天河区,02-09
184,上海惟吾人才服务有限公司,15-20万/年,PHP程序员,上海-静安区,02-09
185,杭州宸鹫科技有限公司,1-1.5万/月,PHP开发工程师,杭州-江干区,02-09
186,深圳蓉信通金融服务有限公司成都分...,1.5-2万/月,短期高级php开发工程师,成都-锦江区,02-09
187,安徽讯飞皆成软件技术有限公司,1-1.5万/月,PHP开发工程师,合肥,02-09
188,杭州千柚科技有限公司,0.6-1万/月,PHP开发工程师,杭州-滨江区,02-09
189,蓝科溯源（北京）科技有限公司,6-8千/月,PHP开发工程师,北京-大兴区,02-09
190,山东泽恩教育科技有限公司,0.6-1.2万/月,PHP高级开发工程师,东营,02-09
191,优联泰克科技发展（大连）有限公司,4-6千/月,PHP软件开发工程师（可接受实习生）,大连,02-09
192,广东中农一粮农业股份有限公司,1-1.5万/月,PHP高级开发工程师,广州-天河区,02-09
193,亨得昂信息科技（上海）有限公司,1.5-3万/月,Python开发工程师,上海,02-09
194,杭州中焯信息技术股份有限公司,1-2万/月,Python开发工程师,杭州,02-09
195,深圳市雁联技术服务有限公司,1.5-2万/月,Python开发工程师,上海,02-09
196,北京博睿宏远数据科技股份有限公司,0.7-1.4万/月,Python开发工程师,武汉-洪山区,02-09
197,北京微迅联创科技有限公司,1.2-2.4万/月,Python开发工程师,北京-朝阳区,02-06
198,华胜信泰信息产业发展有限公司,1.5-2万/月,Python开发工程师,北京-海淀区,02-06
199,卓尔购电子商务（武汉）有限公司,1-1.5万/月,Python开发工程师,武汉,02-06
200,昊盈信息技术（成都）有限公司,0.8-1.5万/月,Python Developer Python开发工程师,成都,02-06
201,无锡聚云科技有限公司,0.6-1.5万/月,Python开发工程师,无锡-滨湖区,02-06
202,湖南六六九互动娱乐有限公司,6-8千/月,PHP高级开发工程师,长沙,02-09
203,万兴科技股份有限公司,1.8-2.5万/月,高级PHP开发工程师,深圳,02-09
204,福州市力步网络科技有限公司,1-3万/月,PHP程序员,福州-鼓楼区,02-09
205,上海深艾信息科技有限公司,1-5万/月,PHP高级开发工程师,上海-徐汇区,02-09
206,上海馥信检测技术服务有限公司,1-1.5万/月,PHP高级工程师,上海-普陀区,02-09
207,无锡华云数据技术服务有限公司,2-3万/月,00518-32-高级Python开发工程师,上海-杨浦区,02-09
208,浙江核新同花顺网络信息股份有限公司,1-2万/月,Python开发工程师,杭州,02-09
209,国广东方网络（北京）有限公司,1-1.5万/月,python开发工程师,北京-海淀区,02-09
210,湖南深腾网络科技有限公司,6-8千/月,PHP网站开发工程师,长沙-天心区,02-09
211,上海赛趣网络科技有限公司,6-8千/月,PHP开发工程师,武汉-洪山区,02-09
212,村游网,1-1.5万/月,PHP开发主管,西安,02-09
213,深圳市荟萃楼珠宝有限公司,0.8-1万/月,PHP开发主管,深圳-罗湖区,02-09
214,北京乡墅科技有限公司,0.8-1万/月,Python开发工程师,长沙-岳麓区,02-08
215,北明软件有限公司,1-2万/月,Python开发工程师,上海-徐汇区,02-08
216,上海数旦信息技术有限公司,1-1.3万/月,python开发工程师,上海-徐汇区,02-08
217,善缘金金融,4-8千/月,Python开发工程师,武汉-江汉区,02-08
218,上海东方低碳科技产业股份有限公司,0.8-1万/月,python开发工程师,上海-长宁区,02-08
219,中国电子科技集团公司第二十八研究所,10-16万/年,Python开发工程师,南京-秦淮区,02-08
220,来拍网络科技有限公司,1-1.2万/月,Python开发工程师,杭州,02-08
221,新海科技集团有限公司,6-12万/年,PHP工程师,宁波,02-09
222,奇虎360科技有限公司,,高级PHP开发工程师,北京,02-09
223,威创集团股份有限公司,1.5-4万/月,PHP高级开发工程师,北京-朝阳区,02-09
224,杭州云海汽车配件有限公司,0.7-1.2万/月,PHP开发工程师,杭州-拱墅区,02-09
225,合肥新大陆数码电子有限公司,2-2.5万/月,PHP开发经理,北京,02-09
226,深圳市通用条码技术开发中心,1-1.5万/月,PHP开发工程师,深圳,02-09
227,北京才秀人人科技有限公司,3-5千/月,无经验PHP开发工程师（学徒）,郑州-中原区,02-09
228,杭州五湖网络科技有限公司,1.5-2.5万/月,PHP开发工程师,杭州-滨江区,02-09
229,上海欧思蔚奥医疗器材有限公司,1.5-2万/月,PHP高级开发工程师,上海-浦东新区,02-09
230,久游网,0.8-1万/月,Python开发工程师,上海-虹口区,02-09
231,武汉朱雀闻天科技有限公司,15-20万/年,Python开发工程师,武汉,02-09
232,深圳市南伽科技信息有限公司,1-1.5万/月,Python开发工程师,深圳-龙华新区,02-09
233,广州奇异果互动科技股份有限公司,0.9-1.5万/月,Python开发工程师,广州-天河区,02-09
234,深圳市百迅科技有限公司,1-1.5万/月,Python开发工程师,深圳-福田区,02-09
235,今日头条,2-3.5万/月,Python开发工程师,北京,02-06
236,深圳汇智心晴咨询有限公司,1.5-2万/月,Python开发工程师,深圳-福田区,02-06
237,智慧芽信息科技（苏州）有限公司,1-2万/月,Python开发工程师（数据采集数据挖掘方向）,上海-静安区,02-06
238,上海崇杏健康管理咨询有限公司,1-1.5万/月,Python开发工程师,上海,02-06
239,上海迈骐国际旅行社有限公司,0.8-1万/月,PHP高级工程师,上海-杨浦区,02-09
240,福建中金在线信息科技有限公司,6-8千/月,PHP开发工程师,武汉-武昌区,02-09
241,广州市海泷国际货运代理有限公司,0.7-1.2万/月,php 程序员/ 软件工程师,广州,02-09
242,上海久懿网络科技有限公司,6-8千/月,PHP开发工程师,上海,02-09
243,杭州盈软科技有限公司,3-4.5千/月,PHP实习生,杭州-余杭区,02-09
244,赛业（广州）生物科技有限公司,6-8千/月,Python开发工程师,广州,02-09
245,会找房（北京）网络技术有限公司,1.5-3万/月,Python开发工程师,北京-海淀区,02-09
246,中通服软件科技有限公司,1.5-2万/月,Python开发工程师,成都-高新区,02-09
247,苏州光格设备有限公司,0.8-1.5万/月,Python开发工程师,苏州,02-09
248,云南麦苗汽车服务有限公司,1-1.5万/月,软件开发项目经理（PHP方向）,昆明,02-09
249,杭州安通招商技术股份有限公司,1-1.5万/月,PHP开发工程师,杭州-余杭区,02-09
250,广东沃商科技有限公司,5-8千/月,PHP工程师（可包住）,佛山,02-09
251,深圳吉才神网络科技有限公司,1-2.2万/月,PHP开发工程师,深圳,02-09
252,杭州俪科网络科技有限公司,1.5-2万/月,PHP开发工程师,杭州-西湖区,02-09
253,迈智微电子（上海）有限公司（美资...,1.5-2万/月,Python开发工程师,上海,02-08
254,杭州沃趣科技股份有限公司,0.6-1万/月,python开发工程师,杭州-滨江区,02-08
255,上海微盟企业发展有限公司,1-1.5万/月,Java/Python开发工程师J10405,上海-宝山区,02-07
256,湖南由创科技有限责任公司,0.8-1万/月,Python开发工程师,长沙-岳麓区,02-07
257,东软睿道教育,6-8千/月,Python开发工程师,异地招聘,02-08
258,文思海辉技术有限公司Pactera Tec...,0.8-1万/月,Python开发工程师,成都,02-08
259,北京思特奇信息技术股份有限公司,1-1.5万/月,云方向业务部门_Python开发工程师,北京-海淀区,02-08
260,京信通信系统（中国）有限公司,0.7-1万/月,Python开发工程师,南京-秦淮区,02-08
261,沈阳东软睿道教育服务有限公司,0.8-1万/月,大数据/Python开发工程师（可实习）,沈阳,02-08
262,深圳市汇米易通网络科技有限公司,0.8-1.5万/月,后端PHP开发工程师,深圳-宝安区,02-09
263,北京齐力众信科技有限公司,0.8-1万/月,PHP开发工程师,北京-昌平区,02-09
264,大连至简信息技术有限公司,3-5千/月,PHP开发工程师助理应届可实习周末双休,大连-沙河口区,02-09
265,懿奈（上海）生物科技有限公司,1-2万/月,PHP开发工程师,上海-长宁区,02-09
266,青岛达芬奇科技有限公司,0.7-1.4万/月,PHP研发工程师（双休）,青岛,02-09
267,徐州百禾网络科技有限公司,4.5-6千/月,PHP运维、开发,徐州,02-09
268,北京微吼时代科技有限公司,1.5-3万/月,PHP高级开发工程师,北京-朝阳区,02-09
269,北京欣如信科技有限公司哈尔滨分公司,3-4.5千/月,PHP开发工程师实习助理+3800起薪,哈尔滨-松北区,02-09
270,广州赛意信息科技股份有限公司,1-1.2万/月,PHP开发工程师,济南,02-09
271,浙江天下网商网络传媒有限公司,1-2万/月,中级PHP工程师,杭州-西湖区,02-09
272,兰溪金威国际贸易有限公司,1-1.5万/月,PHP开发工程师,杭州-余杭区,02-09
273,上海创蓝文化传播有限公司,0.8-1.2万/月,PHP开发工程师,上海,02-09
274,苏州工业园区莫尔顿餐饮管理有限公司,1-1.5万/月,PHP开发工程师,上海-普陀区,02-09
275,深圳市原形信息技术有限公司,6-8千/月,Python开发工程师,长沙-岳麓区,02-09
276,学慧帮（上海）企业管理咨询有限公司,1.5-2万/月,Python开发工程师,上海-徐汇区,02-09
277,广州东诚信息科技有限公司,6-8千/月,前端/Python开发工程师/自动化运维项目,广州,02-09
278,苏州云极客信息技术有限公司,1-1.5万/月,Python开发工程师,苏州-工业园区,02-09
279,上海层峰网络科技有限公司,1-2万/月,Python开发工程师,上海-静安区,02-09
280,上海江村市隐智能科技有限公司,1.5-2万/月,Python开发工程师,上海-浦东新区,02-06
281,上海华屹数码科技有限公司,1-1.5万/月,python开发工程师,上海-徐汇区,02-06
282,深圳花果山科技有限公司,4-8千/月,Python开发工程师,深圳,02-06
283,广东菲立智能家居有限公司,0.6-1万/月,（急聘）Python开发工程师,广州,02-06
284,苏州新看点信息技术有限公司,0.9-1.5万/月,php工程师,苏州,02-09
285,盟大集团,0.8-1万/月,php工程师 (CY24-1),东莞,02-09
286,深圳市前海欢雀科技有限公司,1-1.5万/月,PHP开发工程师,深圳-南山区,02-09
287,成都第二梦科技有限公司,0.8-1.5万/月,PHP研发工程师,成都-高新区,02-09
288,湖南特能博世科技有限公司,0.8-1.5万/月,Python开发工程师,长沙,02-09
289,丝路资源有限公司,0.8-1.2万/月,Python开发工程师,上海-黄浦区,02-09
290,上海大岂网络科技有限公司,1-2万/月,Python开发工程师,上海-徐汇区,02-09
291,东莞市银众实业投资有限公司,4.5-6千/月,PHP开发工程师,东莞-南城区,02-09
292,济南富库网络技术有限公司,0.8-1万/月,PHP开发工程师,济南-历下区,02-09
293,上海鹰谷信息科技有限公司,1.2-2万/月,PHP中级开发工程师,上海-浦东新区,02-09
294,北京圆心科技有限公司,2-2.5万/月,PHP高级开发工程师,北京-朝阳区,02-09
295,盘石软件（上海）有限公司,0.6-1万/月,Python开发工程师,上海-普陀区,02-07
296,中科创达软件股份有限公司,1.5-2.5万/月,Python开发工程师,异地招聘,02-07
297,深圳市巴伦技术股份有限公司,0.8-1.2万/月,Python开发工程师,深圳,02-07
298,上海帝联信息科技股份有限公司,6-8千/月,Python开发工程师,南通,02-08
299,网信集团有限公司,0.8-1.6万/月,Python开发工程师,成都,02-08
300,首汇焦点（北京）科技有限公司,1.5-2万/月,Python开发工程师,北京-朝阳区,02-08
301,上海六界信息技术有限公司,1-1.2万/月,Python开发工程师,上海-徐汇区,02-08
302,世纪佳缘网,1.2-2.2万/月,PHP开发经理,北京-朝阳区,02-09
