,name,sallary,duty,location,time
25316,上海恩德丽斯实业有限公司,1.5-2万/月,（月入数万5k起+供住）网络维修/网络管理,上海-嘉定区,12-28
25317,上海纽港资产管理有限公司,1.5-2万/月,（月入数万5k起+供住）网络维修/网络管理,上海-嘉定区,12-28
25318,上海纽港资产管理有限公司,1.5-2万/月,（月入数万5k起+供住）网络维修/网络管理,上海-嘉定区,12-28
25319,科磊半导体设备技术（上海）有限公司,1-1.5万/月,Java软件开发工程师,上海-浦东新区,12-28
25320,苏州爱打工信息技术有限公司,3.5-5千/月,IT专员,苏州-高新区,12-28
25321,中烨集团,1-1.8万/月,系统运维工程师,上海-虹口区,12-28
25322,上海互信金融信息服务有限公司,0.9-1.3万/月,APP测试工程师,上海-虹口区,12-28
25323,上海互信金融信息服务有限公司,0.9-1.3万/月,中级测试工程师,上海-虹口区,12-28
25324,广州冠宏化妆品有限公司,0.5-1万/月,阿里巴巴国际站运营（包吃住高提成）,广州-白云区,12-28
25325,广州冠宏化妆品有限公司,3-5千/月,文员/人事专员/行政专员/,广州-白云区,12-28
25326,北京飞凡互动顾问有限公司,1-2万/月,Back-end Web Developer 网站后台开发,上海-徐汇区,12-28
25327,北京飞凡互动顾问有限公司,1-2万/月,Back-end Web Developer 网站后台开发,上海-徐汇区,12-28
25328,唯品会（中国）有限公司,2-2.5万/月,高级测试工程师,上海-静安区,12-28
25329,唯品会（中国）有限公司,1.5-2万/月,前端开发工程师,广州-荔湾区,12-28
25330,唯品会（中国）有限公司,1.2-2万/月,培训管理,广州-海珠区,12-28
25331,唯品会（中国）有限公司,0.7-1.4万/月,培训副经理（全国物流总部-肇庆）,异地招聘,12-28
25332,唯品会（中国）有限公司,4-8千/月,行政主管(公关外联-物流总部-肇庆),异地招聘,12-28
25333,东莞尾音信息科技有限公司,2-3千/月,IT项目助理实习生,东莞-松山湖区,12-27
25334,东莞尾音信息科技有限公司,6-8千/月,双休IT技术学徒/实习生 转正起薪5k起,东莞-松山湖区,12-27
25335,东莞尾音信息科技有限公司,6-8千/月,网站开发实习生/应届生  转正起薪5k起,东莞-松山湖区,12-27
