location,time,sallary,name,duty
重庆-渝北区,03-12,5-7万/月,中国平安人寿保险股份有限公司重庆...,平安好车/汽车之家专员
杭州,03-12,7-10万/月,杭州长安民生物流有限公司,物流规划专员
深圳-南山区,03-12,5-7万/月,深圳市多迪信息科技有限公司,营销总监-合伙人级别
异地招聘,03-12,5-8万/月,深圳中南置业有限公司,片区总/大项目总
上海-浦东新区,03-12,5-10万/月,恒泰证券股份有限公司上海张杨路证...,金融销售总监
上海-闵行区,03-12,5-7万/月,西藏衣得体信息科技有限公司,副总经理
广州,03-12,300元/小时,广州市白云区和鑫服装厂,急招业余网拍平面模特/日韩美衣
上海-浦东新区,03-12,100万以上/年,上海摩高投资有限公司,投资总监/合伙人（合伙团队）
深圳-罗湖区,03-12,100万以上/年,深圳市中亚艺术品有限公司,收藏艺术品合伙人
广州-越秀区,03-12,10万以上/月,深圳市乐有家控股集团有限公司,年薪百万不是梦
上海-普陀区,03-12,5-10万/月,上海开启房地产投资咨询有限公司,二手房总经理
广州,03-12,60-80万/年,深圳市华阳国际工程设计股份有限公...,结构部总经理
南昌-红谷滩新区,03-12,10万以上/月,中陆企业管理集团有限公司,装饰公司总经理
广州-荔湾区,03-12,7-10万/月,广州博明医疗集团,高薪竞价主管
广州-天河区,03-12,10万以上/月,中国平安人寿保险股份有限公司广州...,高薪诚聘平安合伙人5400工资起步，综合金融大平台
上海-杨浦区,03-12,5-7万/月,电讯盈科 上海,高级销售经理（BSS/OSS/MSS）
武汉,03-12,10万以上/月,广州同鑫科技有限公司,人力资源总监
深圳-南山区,03-12,100万以上/年,世纪投资控股集团（深圳）有限公司,中世纪基金经理（合伙人）
郑州,03-12,5-7万/月,中梁地产新苏区域公司,区域公司常务副总
潍坊,03-12,6-10万/月,北京柯默森机械设备有限公司,产品拓展工程师
上海-闵行区,03-12,350元/小时,上海正培教育科技有限公司,双语计算机老师
湖州,03-12,100万以上/年,浙江中链汽车服务有限公司,湖州地区百万年薪城市合伙人（分公司总经理）
异地招聘,03-12,60-120万/年,浙江省国际交流实业公司,首席技术官
广州-天河区,03-12,7-20万/月,华夏银行股份有限公司广州分行,高级白金信用卡客户经理A
宁波,03-12,5-7万/月,鑫茂荣信财富投资管理（北京）有限...,分公司总经理
广州-天河区,03-12,7-10万/月,中国平安人寿保险股份有限公司广州...,广东部互联网金融销售经理
深圳-福田区,03-12,5-7万/月,珠海赢米资产管理有限公司,机构事业部总经理
东莞-南城区,03-12,60-80万/年,泛华联兴保险销售股份公司东莞分公司,副总经理（省公司经营班子）
北京-海淀区,03-12,10-20万/月,北京明德新民体育文化有限公司,运动科技 专栏频道负责人
广州,03-12,5-7万/月,广州雷音网络科技有限公司,法务总监
广州-天河区,03-12,15-50万/月,广州商君企业管理咨询有限公司,现场管理专家（顾问）
异地招聘,03-12,100万以上/年,杭州士兰集成电路有限公司,总经理（厦门士兰明镓）
广州,03-12,100万以上/年,广州富宏智能科技有限公司,自动售货机合伙人
郑州,03-12,100万以上/年,河南宝恒信息科技有限公司,成本设计事业部总裁
宁波-江北区,03-12,60-80万/年,上海丰树管理有限公司,商场管理副总经理（宁波项目）
上海-普陀区,03-12,80-130万/年,上海千江月地产集团有限公司,文旅开发股份公司总裁/总经理
温州,03-12,6-7万/月,上海海特克液压动力设备有限公司,2018海特克液压校园招聘
武汉,03-12,5-7万/月,武汉乐美医疗美容有限公司,整形医生
上海-长宁区,03-12,60-80万/年,微娃（上海）国际贸易有限公司,市场营销总监
东莞,03-12,60-80万/年,东莞世联地产顾问有限公司,金融业务部总经理
上海,03-12,7-10万/月,上海全通金融谷集团有限公司,融资副总经理
异地招聘,03-12,100万以上/年,海银财富管理有限公司,营销副总裁-深圳/广州
广州-天河区,03-12,60-80万/年,广州斯登诚信信息技术有限公司,运营副总经理-信息安全（销售方向）
东莞,03-12,100-300万/年,东彩塑胶颜料（深圳）有限公司,激励师
上海-闵行区,03-12,9999元/天,圣戈班研发（上海）有限公司,Cementitious materials technician
上海-普陀区,03-12,60-80万/年,徙木金融信息服务（上海）有限公司,融资总监（机构合作总监）
武汉,03-12,65-85万/年,武汉天利阁服饰有限责任公司,区长
泉州,03-12,100万以上/年,泉州君越机电工程有限公司,合伙人
滁州,03-12,5-10万/月,金鹏投资管理有限公司,装配式产业园-----副总
深圳-宝安区,03-12,5-7万/月,深圳亿和环保有限公司,网络推广经理
常州,03-12,100万以上/年,常州云谷物联科技有限公司,招纳专卖店城市合伙人
异地招聘,03-12,60-80万/年,东莞市找大状互联网科技有限公司,招城市代理商，自己开公司做项目其实不难
成都-龙泉驿区,03-12,10万以上/月,成都兴宝旺房地产开发有限公司,植筋班组
上海,03-12,60-80万/年,上海宝藤生物医药科技股份有限公司,市场拓展总监
成都-双流区,03-12,7-10万/月,成都吉家好家家居有限公司,新媒体分公司总经理（合伙人）
上海,03-12,20-30万/月,上海有云信息技术有限公司,信息安全高级顾问
广州,03-12,80-100万/年,白山人参生命网络科技有限公司,联合创始人
惠州,03-12,70-90万/年,新力惠州城市公司,片区工程副总
上海-黄浦区,03-12,60-100万/年,上海莲平实业有限公司,投资副总裁
上海-普陀区,03-12,10万以上/月,宇培国际控股集团有限公司,首席财务官
上海-闵行区,03-12,30-100万/月,人民电器集团有限公司,人民控股集团——信息部总经理
重庆-巴南区,03-12,4000元/天,万全医药集团,建筑现场管理员
深圳-福田区,03-12,5-7万/月,深圳益民财富管理有限公司,财富事业部总监
异地招聘,03-12,5-8万/月,山东科瑞石油装备有限公司,战略合作部总经理
中山,03-12,5-7万/月,中山百佳妇产医院有限公司,行政人事主管
郑州,03-12,80-100万/年,上海红星美凯龙置业有限公司,项目总（河南）
北京-昌平区,03-12,100万以上/年,上海捞派餐饮管理有限公司,特殊助理（cio）
厦门,03-12,15-25万/月,绿芯半导体（厦门）有限公司,（初高级）固件测试开发(FWQA)工程师
深圳,03-12,80-100万/年,东莞市勤明士照明科技有限公司,外贸副总
北京-海淀区,03-12,60-80万/年,太平人寿保险有限公司北京分公司海...,金领人才工程
异地招聘,03-12,100万以上/年,上海贝乐康足球俱乐部,合伙人
异地招聘,03-12,60-80万/年,广州兆成景置业有限公司,区域拓展总经理
佛山,03-12,100万以上/年,佛山市三八凤凰文化传播有限公司,招募分公司合作伙伴
深圳-福田区,03-12,5-7万/月,深圳市恒明投资发展（集团）有限公司,城市更新总
广州-天河区,03-12,5-7万/月,广东金楼投资有限公司,总经理
上海-徐汇区,03-12,5-7万/月,HYPEREAL,机器学习研究员
异地招聘,03-12,80-100万/年,上海伊捷人力资源有限公司,事业部总经理（药厂信息化）
广州-白云区,03-12,10万以上/月,广州悦开妍化妆品有限公司,招募电商合伙人
广州-黄埔区,03-12,5-7万/月,深圳市宝能投资集团有限公司,设计副总
异地招聘,03-12,60-80万/年,远成物流城集团,集团总裁
广州,03-12,5-7万/月,广州碧软信息科技有限公司,软件外包公司
天津,03-12,80-100万/年,上海红星美凯龙置业有限公司,项目总（河北、天津）
上海-浦东新区,03-12,10万以上/月,Unique Executive Search,营建部总经理
安徽省,03-12,5-7万/月,上海红星美凯龙置业有限公司,项目总（江浙皖）
佛山,03-12,300-1000万/年,宏图瀛通（广州）人力资源有限公司,首席财务官（CFO)
广州-天河区,03-12,5-7万/月,广州无线电集团有限公司,市值管理总监
异地招聘,03-12,5-6万/月,山东十笏园食品有限公司,总裁
上海-浦东新区,03-12,7-10万/月,中金汇理融资租赁有限公司,贸易金融总经理
上海-静安区,03-12,5-10万/月,新新贷（上海）金融信息服务有限公司,信贷端副总裁
西安-碑林区,03-12,10万以上/月,红上财富（上海）投资管理有限公司,财富中心经理
合肥-蜀山区,03-12,5-7万/月,巨汇财富（北京）投资管理有限公司...,高级理财顾问
上海-金山区,03-12,80-100万/年,上海芮远化学科技有限公司,销售合伙人
广州-越秀区,03-12,100万以上/年,广州森美浪贸易有限公司,副总裁
广州-天河区,03-12,5-13万/月,广州市东洲装饰工程有限公司,木门销售从业人员
宁波-鄞州区,03-12,5-7万/月,宁波市鄞州耿帅进出口有限公司,法语销售
异地招聘,03-12,60-80万/年,深圳金辉达企业管理咨询有限公司,品牌服装首席数据官
武汉-武昌区,03-12,60-80万/年,中国建筑第二工程局有限公司,房建类项目安全总监
异地招聘,03-12,80-100万/年,上海科瓦纳企业管理咨询有限公司,冶金研究所所长（年薪大于80万）
异地招聘,03-12,80-100万/年,安徽省文胜生物工程股份有限公司,总经理
太仓,03-12,7-10万/月,太仓市金达机械厂,销售(金溪粉碎设备）
郑州-管城回族区,03-12,100-500万/年,韩城金鸿日用品经销店,创业合伙人，年均100—500万，每年免费海外旅游2-4次
潍坊,03-12,7-10万/月,山东铭拓企业管理咨询有限公司,总裁
湖南省,03-12,60-80万/年,中梁控股集团长株潭区域公司,事业部总经理
上海,03-12,5-6万/月,上海鸣志电器股份有限公司,贸易事业群总经理
嘉兴,03-12,60-80万/年,永新纺织印染有限公司,总经理
深圳-福田区,03-12,5-10万/月,银河移民,移民业务总经理
宁波,03-12,5-7万/月,宁波市鄞州双维塑胶厂,数控带班师傅
江苏省,03-12,5-7万/月,泰兴市奥新置业有限公司,储备项目营销副总
深圳-龙华新区,03-12,10-20万/月,深圳市创视通电子技术有限公司,俄语销售
南京-秦淮区,03-12,2500元/天,南京好易家网络科技有限公司,APP/微信扫码推广
深圳-罗湖区,03-12,5-7万/月,宝能控股（中国）有限公司总部,资产运营中心副总
异地招聘,03-12,4000元/天,上海世语翻译有限公司,中英同传（工作地点贵阳或昆明）
北京-朝阳区,03-12,5-7万/月,中信云网有限公司,产业互联网战略研究规划岗
西安-曲江文化...,03-12,7-10万/月,陕西英铂投资管理有限公司,文旅地产唐规划设计部副总经理
广州-花都区,03-12,6-12万/月,广州市盛邦康体场地材料有限公司,工程销售经理（高底薪高提成）
广州-番禺区,03-12,1000元/小时,广州角度服装有限公司,男模***:
广州-天河区,03-12,100万以上/年,广州市华企软件有限公司,省代理权--营运商家
广州-番禺区,03-12,80-100万/年,广州雅玛实验室系统工程设计有限公司,副总经理
上海-浦东新区,03-12,60-80万/年,上海药明巨诺生物科技有限公司,Director of QC and Analytical Development
珠海,03-12,5-10万/月,瑞德青春（珠海）健康管理有限公司,美丽养护微整中心主任
深圳-南山区,03-12,5-10万/月,深圳前海优聚资本管理有限公司,投资总监ED/MD
宁波-海曙区,03-12,8-18万/月,宁波博洋家纺有限公司,家居设计师主管
武汉-江岸区,03-12,7-10万/月,华夏幸福基业股份有限公司,项目总
温州,03-12,80-100万/年,杭州世茂瑞盈置业有限公司,项目总/储备城市总
深圳,03-12,5-7万/月,深圳市欣话筒文化艺术传播有限公司,少儿模特、小模特老师
上海,03-12,80-100万/年,戴德梁行房地产咨询（上海）有限公司,商业总经理--AM
上海-虹口区,03-12,80-100万/年,上海利真汽车服务咨询有限公司,人力资源总监
北京,03-12,60-75万/年,西安杨森制药有限公司,"Senior Manager, Medical Writer"
重庆,03-12,5-7万/月,北京长久物流股份有限公司,总经理
深圳-福田区,03-12,5-7万/月,广东碧桂园资产管理有限公司,物业经营副总裁
沈阳,03-12,10万以上/月,沈阳市鑫洋饮料厂,城市代理商、经销商
广州-番禺区,03-12,5-7万/月,广州市墨历服饰有限公司,车版师
上海-浦东新区,03-12,5-7万/月,深圳市鼎丰盛业供应链管理有限公司,食品/化妆品进出口客服跟单
北京-朝阳区,03-12,80-100万/年,汇法信息技术有限公司,高级销售经理
上海,03-12,60-80万/年,上海雅太医院管理有限公司,项目总监
杭州,03-12,5-7万/月,东易日盛家居装饰集团股份有限公司...,资深设计师（杭州）
广州,03-12,5-7万/月,广州市泽普企业管理咨询有限公司,行政接待副总经理
深圳-宝安区,03-12,5000元/天,深圳市宝威家用电器有限公司,火花机操作员
深圳-福田区,03-12,5-6万/月,深圳市滨海基金管理有限公司,私人银行中心总经理
异地招聘,03-12,5-7万/月,广州市番禺区南村椒王餐厅,椒王火锅诚聘 总经理
合肥-庐阳区,03-12,5-7万/月,合肥仆心环保科技有限公司,拼搏的年龄不要选择安逸
广州-天河区,03-12,100万以上/年,广东车天车地汽车销售服务有限公司,总经理（宝盈保险）
异地招聘,03-12,60-80万/年,中智成都签证服务有限公司,企业文化专家
东莞,03-12,80-120万/年,华为技术有限公司,企业订单业务运营专家
广州-天河区,03-12,60-80万/年,龙浩机场集团有限公司,金控集团金融机构部总经理/副总经理
上海-浦东新区,03-12,7-10万/月,上海增元投资管理咨询有限公司,财富管理合伙人
杭州-拱墅区,03-12,80-100万/年,杭州林九大装饰工程有限公司,业务总经理
重庆-渝中区,03-12,80-100万/年,北京德塬宝通资产管理有限公司,分公司总经理
广州,03-12,5-7万/月,广州斯沃德科技有限公司,首席架构师/CTO/技术总监/技术合伙人
深圳-罗湖区,03-12,10-20万/月,深圳市天通达实业发展有限公司,资质负责人
北京-朝阳区,03-12,100万以上/年,富尔华兴（北京）国际投资管理有限...,CBD百万年薪诚邀各行各业精英共创天下
异地招聘,03-12,1000元/小时,北京天译时代翻译有限责任公司,各语种口译翻译人员
重庆,03-12,60-80万/年,保利（重庆）投资实业有限公司,园林景观部经理
北京,03-12,5-7万/月,美团点评,图像处理算法高级专家
深圳-福田区,03-12,60-80万/年,邦创咨询有限公司,***合伙人
深圳,03-12,60-80万/年,深圳市广盛浩科技有限公司,总经理
上海,03-12,70-80万/年,世联博众翻译有限公司,副总裁/合伙人
广州,03-12,80-100万/年,广州无线电集团有限公司,首席科学家
异地招聘,03-12,5-8万/月,瑞时会网络科技（深圳）有限公司,分公司总经理\俱乐部总经理
西安,03-12,5-7万/月,陕西图观工程设计有限公司,总经理
深圳-宝安区,03-12,100万以上/年,深圳市韩彩实业有限公司,保健食品合伙人
深圳-南山区,03-12,80-150万/年,顺丰科技有限公司,包装研发专家（基础研究）
上海-徐汇区,03-12,7-10万/月,威霖管理顾问（北京）有限公司,上市集团财务总监
上海-浦东新区,03-12,5-7万/月,施耐德电气（中国）有限公司,GSC China Procurement Controller(00408Z)
深圳-福田区,03-12,5-7万/月,太武国际贸易(深圳)有限公司,CFO
异地招聘,03-12,4500元/天,东莞弗兰德通信科技有限公司,QC(松山湖)
杭州-滨江区,03-12,100万以上/年,杭州豪世华邦,8销售8k+高提成+内部提升+旅游出差+食宿
上海-闵行区,03-12,80-100万/年,上海绩唯商务信息咨询有限公司,金融销售(年薪50万+早九晚六+周末双休）
上海-浦东新区,03-12,60-80万/年,上海恒实投资集团有限公司,房地产公司总经理
