,duty,sallary,name,time,location
7710,机器人软件开发工程师,0.8-1万/月,华南智能机器人创新研究院,2月8日,异地招聘
7711,人机交互软件工程师,6-8千/月,华南智能机器人创新研究院,2月8日,异地招聘
7712,机器人软件开发工程师,12-20万/年,华南智能机器人创新研究院,2月8日,异地招聘
7713,高级数据分析师,1-2万/月,北京车网互联科技有限公司,2月8日,北京-朝阳区
7714,2018应届毕业生,15-20万/年,广东远峰汽车电子有限公司,2月8日,异地招聘
7715,应用算法开发工程师,1-2万/月,北京经纬恒润科技有限公司,2月8日,北京-海淀区
7716,人工智能工程师,1-2万/月,北京经纬恒润科技有限公司,2月8日,北京-海淀区
7717,大数据平台研发工程师,15-20万/年,三星电子（中国）研发中心,2月8日,南京-雨花台区
7718,导航算法专家/工程师,30-40万/年,上海奕见企业管理咨询有限公司,2月8日,上海-杨浦区
7719,DSP算法软件工程师,1.5-3万/月,辰芯科技有限公司,2月8日,上海-浦东新区
7720,雷达信号处理设计,15-20万/年,上海航天电子通讯设备研究所,2月8日,上海-闵行区
7721,助理工程师,5-8千/月,广州舜飞信息科技有限公司,2月8日,广州-天河区
7722,大数据工程师(DMP),1.5-2万/月,广州舜飞信息科技有限公司,2月8日,广州-天河区
7723,图像处理工程师,1.5-2万/月,杭州中威电子股份有限公司,2月8日,杭州-滨江区
7724,大数据工程师（数据仓库）,1.5-2万/月,广州星域信息科技有限公司,2月8日,广州
7725,资深数据分析师,0.8-1.5万/月,重庆易极付科技有限公司,2月8日,重庆-渝北区
7726,大数据开发工程师,1-1.5万/月,重庆易极付科技有限公司,2月8日,重庆-渝北区
7727,高级云端后台开发工程师,1-3万/月,上海肇观电子科技有限公司,2月8日,上海-浦东新区
7728,算法研发工程师,1.5-2万/月,杭州麦苗网络技术有限公司,2月8日,杭州
7729,电机控制及应用工程师,10-15万/年,央腾汽车电子有限公司,2月8日,上海-松江区
7730,机器学习工程师,1.5-3万/月,北京减脂时代科技有限公司,2月8日,北京-朝阳区
7731,视觉工程师,0.8-1.5万/月,东莞市李群自动化技术有限公司,2月8日,异地招聘
7732,FPGA工程师,0.8-1.5万/月,京信通信系统（中国）有限公司,2月8日,南京-秦淮区
7733,NLP科学家,1.5-2万/月,诺亚易捷金融科技有限公司,2月8日,上海
7734,数据仓库BI工程师,1-2万/月,上海汉得信息技术股份有限公司,2月8日,上海
7735,大数据工程师,1-1.5万/月,上海汉得信息技术股份有限公司,2月8日,上海
7736,机器学习工程师,30-40万/年,招商银行股份有限公司信用卡中心,2月8日,上海
7737,高级/资深/主任JAVA搜索引擎开发工程师,3.5-7万/月,唯品会（中国）有限公司,2月8日,北京
7738,大数据开发工程师,1-1.8万/月,武汉泰乐奇信息科技有限公司,2月8日,武汉
7739,决策规划工程师,1-2万/月,北京经纬恒润科技有限公司,2月8日,北京-海淀区
7740,机器人软件工程师,0.4-2万/月,苏州元谋智能机器人系统有限公司,2月8日,苏州-工业园区
7741,嵌入式工程师（算法移植方向）,8-16万/年,浙江红相科技股份有限公司,2月8日,杭州
7742,算法实习生,2.5-4千/月,无锡乐骐科技有限公司,2月8日,无锡
7743,图像识别软件工程师,0.6-1万/月,启明天工（苏州）控制系统有限公司,2月8日,苏州-高新区
7744,大数据工程师（Python 爬虫）,1.5-2万/月,广州星域信息科技有限公司,2月8日,广州
7745,机器学习研究员,5-7万/月,HYPEREAL,2月8日,上海-徐汇区
7746,视觉算法实习生,4.5-6千/月,HYPEREAL,2月8日,上海-徐汇区
7747,软件工程师,0.8-1.5万/月,深圳市奥贝尔电子有限公司,2月8日,深圳-龙华新区
7748,高级软件工程师,2-3万/月,东莞市深山老林企业管理咨询有限公司,2月8日,东莞
7749,高级软件工程师,2-3万/月,东莞市深山老林企业管理咨询有限公司,2月8日,深圳
7750,高级手写识别开发工程师,20-40万/年,上海互教教育科技有限公司,2月8日,上海-浦东新区
7751,Python高级开发工程师,1.2-2万/月,上海互教教育科技有限公司,2月8日,上海-浦东新区
7752,机器人控制算法高级工程师,1.5-3万/月,深圳才易宝技术有限公司,2月8日,深圳-南山区
7753,产品经理（云计算、大数据）,1-1.5万/月,深圳才易宝技术有限公司,2月8日,深圳-南山区
7754,ADAS算法实习生,150元/天,福瑞泰克智能系统有限公司,2月8日,杭州-滨江区
7755,Deep Learning算法专家,1.6-2.6万/月,福瑞泰克智能系统有限公司,2月8日,杭州-滨江区
7756,Deep Learning算法专家,1.6-2.6万/月,福瑞泰克智能系统有限公司,2月8日,异地招聘
7757,图像软件工程师,1.6-2.6万/月,福瑞泰克智能系统有限公司,2月8日,杭州-滨江区
7758,控制工程师,0.8-1.5万/月,北京亿华通科技股份有限公司,2月8日,北京-海淀区
7759,算法移植优化工程师,0.5-1万/月,杭州锐颖科技有限公司,2月8日,杭州
7760,大数据分析师（自然语言处理方向）,1-2万/月,长安新生（深圳）金融投资有限公司,2月8日,北京-朝阳区
7761,机器视觉工程师,1-1.5万/月,苏州玻色智能科技有限公司,2月8日,异地招聘
7762,机器视觉工程师,1-1.5万/月,苏州玻色智能科技有限公司,2月8日,苏州-工业园区
7763,软件工程师(Software Engineer),6-8千/月,基恩生物科技（大连）有限公司,2月8日,大连-中山区
7764,算法研究员,1.5-3万/月,浙江诺尔康神经电子科技股份有限公司,2月8日,杭州-余杭区
7765,图像识别算法测试工程师,1-1.5万/月,科沃斯机器人股份有限公司,2月8日,苏州
7766,生物信息工程师--广州,0.6-1万/月,广东腾飞基因科技股份有限公司,2月8日,广州-黄埔区
7767,生物信息软件工程师,4.5-6.5千/月,广东腾飞基因科技股份有限公司,2月8日,中山
7768,机器学习算法和数据分析工程师,30-50万/年,深圳市博英医疗仪器科技有限公司,2月8日,深圳-福田区
7769,语音算法资深工程师,1.5-3万/月,上海富瀚微电子股份有限公司,2月8日,上海-徐汇区
7770,语音算法高级工程师/经理,1.2-2.5万/月,上海富瀚微电子股份有限公司,2月8日,上海-徐汇区
7771,图像识别工程师,1.3-2.5万/月,上海互教教育科技有限公司,2月8日,上海-浦东新区
7772,CAE研发工程师（高频电磁场）,0.8-1.5万/月,英特工程仿真技术（大连）有限公司,2月8日,无锡
7773,CAE研发工程师（低频电磁场）,0.8-1.5万/月,英特工程仿真技术（大连）有限公司,2月8日,无锡
7774,CAE研发工程师（结构/固体力学）,0.6-1.2万/月,英特工程仿真技术（大连）有限公司,2月8日,无锡
7775,"CAE研发工程师（流体,可压缩/不可压缩）",0.6-1.2万/月,英特工程仿真技术（大连）有限公司,2月8日,无锡
7776,CFD仿真工程师,0.5-1万/月,英特工程仿真技术（大连）有限公司,2月8日,无锡
7777,图像软件工程师,1.6-2.6万/月,福瑞泰克智能系统有限公司,2月8日,异地招聘
7778,Deep Learning算法专家,30-60万/年,福瑞泰克智能系统有限公司,2月8日,杭州-滨江区
7779,仿真建模工程师,2-2.5万/月,福瑞泰克智能系统有限公司,2月8日,杭州-滨江区
7780,高级轨迹控制工程师,1.5-3万/月,福瑞泰克智能系统有限公司,2月8日,杭州-滨江区
7781,高级模型算法分析师,2-3万/月,北京蛙鸣华清环保科技有限公司,2月8日,北京-朝阳区
7782,高级模型算法分析师,2-3万/月,北京蛙鸣华清环保科技有限公司,2月8日,北京-朝阳区
7783,中国船舶重工股份连云港杰瑞电子2018招聘,0.8-1万/月,连云港杰瑞电子有限公司,2月8日,异地招聘
7784,量化策略师,10-50万/年,福建永银量化信息科技有限公司,2月8日,异地招聘
7785,深度学习研发工程师,1-3万/月,北京楚天龙科技发展有限公司,2月8日,北京-海淀区
7786,应用开发工程师,0.8-1万/月,北京楚天龙科技发展有限公司,2月8日,北京-海淀区
7787,GPU研发工程师,1-2万/月,北京楚天龙科技发展有限公司,2月8日,北京-海淀区
7788,计算机视觉研发工程师,1-3万/月,北京楚天龙科技发展有限公司,2月8日,北京-海淀区
7789,机器视觉工程师 Robotics Vision Engineer(杭州）,10-15万/年,史陶比尔（杭州）精密机械电子有限...,2月8日,杭州-江干区
7790,CAE结构仿真分析工程师,0.5-1万/月,英特工程仿真技术（大连）有限公司,2月8日,无锡
7791,LINUX跨平台开发工程师,0.6-1.2万/月,英特工程仿真技术（大连）有限公司,2月8日,无锡
7792,并行计算研发工程师,0.7-1.4万/月,英特工程仿真技术（大连）有限公司,2月8日,无锡
7793,并行计算研发工程师,0.7-1.5万/月,英特工程仿真技术（大连）有限公司,2月8日,沈阳-浑南区
