,name,sallary,duty,time,location
8131,南京云创大数据科技股份有限公司,0.8-1.6万/月,大数据开发工程师（Hadoop）,2月6日,南京
8132,南京云创大数据科技股份有限公司,0.6-1.5万/月,深度学习算法工程师,2月6日,南京
8133,达而观信息科技（上海）有限公司,3-5万/月,搜索开发技术专家/团队leader,2月6日,异地招聘
8134,达而观信息科技（上海）有限公司,3-5万/月,搜索开发技术专家/团队leader,2月6日,异地招聘
8135,江苏骏环昇旺科技产业股份有限公司,1-1.5万/月,大数据开发工程师（数据建模方向）,2月5日,南京-玄武区
8136,付融宝（软银中国及上市公司投资平...,1.5-2万/月,数据挖掘工程师（付融宝）,2月6日,南京
8137,广东曼拓信息科技有限公司,2-5万/月,算法工程师（大数据）,2月5日,广州-天河区
8138,广东曼拓信息科技有限公司,2.5-4万/月,产品经理,2月5日,广州-天河区
8139,广州艾媒数聚信息咨询股份有限公司,1.1-2万/月,大数据高级研究员,2月5日,北京-海淀区
8140,珠海网博信息科技股份有限公司,2-2.5万/月,数据技术专家,2月5日,珠海
8141,北京神州泰岳软件股份有限公司,0.8-1万/月,助理算法工程师-鼎富科技-金融智能应用运营中心,2月5日,成都
8142,TCL集团工业研究院,0.8-1.5万/月,语义理解算法工程师,2月5日,西安-高新技术...
8143,TCL集团工业研究院,0.8-1.5万/月,语音合成算法工程师,2月5日,西安-高新技术...
8144,TCL集团工业研究院,4.5-6千/月,人工智能及大数据研究方向实习生,2月5日,异地招聘
8145,TCL集团工业研究院,4.5-6千/月,人工智能及大数据研究方向实习生,2月5日,深圳
8146,TCL集团工业研究院,1-1.5万/月,SPARK大数据开发工程师,2月5日,深圳
8147,上海费芮网络科技有限公司,,Golang研发工程师（支付组）,2月5日,上海-徐汇区
8148,北京众标智能科技有限公司,1-2万/月,Spark开发工程师,2月5日,上海-徐汇区
8149,京东方科技集团股份有限公司,2-2.5万/月,自然语音处理工程师J16600,2月5日,北京
8150,耐能（珠海）人工智能科技有限公司,3-4万/月,高级图像深度学习工程师,2月5日,珠海
8151,浙江华坤道威数据科技有限公司,4-5万/月,数据科学家,2月5日,杭州-西湖区
8152,浙江华坤道威数据科技有限公司,1-2万/月,数据挖掘工程师,2月5日,杭州-西湖区
8153,达而观信息科技（上海）有限公司,3-5万/月,搜索开发技术专家/团队leader,2月6日,上海-浦东新区
8154,无锡中铠信息咨询服务有限公司,6-8千/月,数据挖掘工程师,2月5日,无锡
8155,深圳中兴力维技术有限公司,2-4万/月,大数据技术架构师(非结构化数据搜索方向),2月5日,南京-江宁区
8156,上海嘉果信息科技有限公司,0.8-1万/月,实习量化软件开发工程师,2月5日,上海
8157,上海嘉果信息科技有限公司,1-1.5万/月,量化工程师,2月5日,上海
8158,携程旅行网支持区,1.5-2万/月,收益经理J14086,2月5日,上海-长宁区
8159,携程旅行网支持区,2-2.5万/月,收益算法工程师(J13426),2月5日,上海-长宁区
8160,携程旅行网支持区,3-4万/月,数据科学家/资深数据挖掘工程师(J13082),2月5日,上海-长宁区
8161,携程旅行网支持区,2-2.5万/月,收益算法工程师(J13426),2月5日,上海-长宁区
8162,成都通甲优博科技有限责任公司,2.5-4万/月,计算机视觉研究员,2月5日,成都
8163,盛大游戏,2.5-3万/月,游戏人工智能工程师,2月5日,上海-浦东新区
8164,湖南华诺科技有限公司,1.3-2.5万/月,软件开发工程师,2月5日,异地招聘
