,time,location,duty,sallary,name
4397,02-09,北京-海淀区,售前经理/工程师,1-2万/月,北京科云互联科技有限公司
4398,02-09,杭州-滨江区,天猫淘宝客服主管,0.8-1万/月,杭州年轮箱包有限公司
4399,02-09,天津,会计,4.5-6千/月,天津浩天翼翔汽车贸易有限公司
4400,02-09,重庆-北碚区,财务助理 （总账/税务/SAP),0.8-1万/月,华安钢宝利汽车板加工（重庆）有限...
4401,02-09,柳州,编剧,0.8-1万/月,柳州咸鱼科技有限公司
4402,02-09,苏州-工业园区,销售顾问,20-30万/年,苏州荟网软件技术有限公司
4403,02-09,无锡-江阴市,咨询顾问（工作地点江阴市）,4.5-6千/月,无锡市太奇教育培训中心
4404,02-09,沈阳-浑南区,嵌入式软件工程师（单片开发工程师）,0.5-1万/月,沈阳洛哈思信息科技有限公司
4405,02-09,成都,川渝OTC销售经理,1-1.5万/月,烟台渤海制药集团有限公司
4406,02-09,南京,天猫钻展设计师,0.6-1万/月,南京小精豆生物科技有限公司
4407,02-09,上海-浦东新区,邀约专员/呼叫中心专员/外呼专员/TMK专员,0.5-1万/月,上海贝乐文化传播有限公司
4408,02-09,无锡,报价专员,4.5-6千/月,上海睿泰企业管理集团有限公司
4409,02-09,上海,Demand Planner/需求计划员,1-1.5万/月,艾仕得涂料系统（上海）有限公司
4410,02-09,上海-静安区,财务,6-8千/月,上海澳太斯纺织有限公司
4411,02-09,广州,财务主管/经理,0.5-1万/月,广州市乐同宝商贸有限公司
4412,02-09,广州-白云区,人事专员,4-5千/月,广州市橡果生物科技有限公司
4413,02-09,武汉-洪山区,售后技术支持工程师,3-5千/月,武汉三江中电科技有限责任公司
4414,02-09,昆明-官渡区,省级销售经理,0.8-1.8万/月,云南美润谷物食品有限公司
4415,02-09,广州-天河区,网络营销主管,1-1.5万/月,广州新发现医疗美容门诊部有限公司
4416,02-09,异地招聘,课程销售顾问 Growth Buddy,4.5-6千/月,长颈鹿美语学校
4417,02-09,上海-静安区,西餐厨师,6-8千/月,上海捷臣展览展示服务有限公司
4418,02-09,上海-徐汇区,助理物业主任-上海环贸广场&iapm,4.5-6千/月,上海启胜物业管理服务有限公司
4419,02-09,广州-天河区,中国平安保险业务经理,0.3-1万/月,中国平安人寿保险股份有限公司广东...
4420,02-09,大连,刀具磨,4.5-6千/月,柯尼齿轮箱（大连）有限公司
4421,02-09,杭州-江干区,员工关系专员,4-5千/月,杭州全球婴网络科技有限公司
4422,02-09,深圳-福田区,资深文案,0.8-1万/月,深圳市威派文化传播有限公司
4423,02-09,西安-雁塔区,营销策划专员,4.5-6千/月,西安大牛犇餐饮管理有限公司
4424,02-09,上海-嘉定区,艺术中心运营总监,1-1.5万/月,上海希狮商务咨询有限公司
4425,02-09,苏州,项目销售内勤,4-5万/年,九龙仓地产苏州公司
4426,02-09,上海-松江区,销售/销售代表,0.6-1.5万/月,上海华悉商务信息咨询有限公司
4427,02-09,广州-天河区,电商推广专员（钻展直通车）,,赫基国际集团－Sixty事业部
4428,02-09,重庆-渝北区,行政秘书,12-12万/年,重庆京投投资集团有限公司
4429,02-09,泉州,淘宝天猫运营,4.5-6千/月,福建北峰通信科技股份有限公司
4430,02-09,肇庆,工程技术人员,3-4.5千/月,肇庆园众教育信息化服务有限公司
4431,02-09,广州,薪酬经理,0.8-1.6万/月,满堂红(中国)置业有限公司
4432,02-09,上海-虹口区,海运操作,0.8-1万/月,旭达国际货运代理（上海）有限公司
4433,02-09,杭州,研发工程师（车用阀方向）,15-20万/年,浙江盾安人工环境股份有限公司
4434,02-09,深圳-南山区,APP运营总监,1.2-2.2万/月,深圳市格通科技有限公司
4435,02-09,武汉-江夏区,商务前台,4.5-6千/月,湖北同盛达建设有限公司
4436,02-09,杭州-建德市,副组长,3.5-6.5千/月,浙江安伴汽车安全急救技术股份有限...
4437,02-09,合肥,商务专员,3-4.5千/月,北京数字政通科技股份有限公司
4438,02-09,异地招聘,销售经理,4.5-6千/月,上海瑞晨环保科技有限公司
4439,02-09,北京-丰台区,行政内勤,4.5-6千/月,摩天之星(北京)科技孵化器有限公司
4440,02-09,北京-大兴区,电气造价师,6-8千/月,北京经开智控能源管理股份有限公司
4441,02-09,重庆-渝中区,平面设计,4.5-6千/月,重庆开东云图酒店管理有限公司
4442,02-09,张家口,出纳兼行政人事,2.8-4千/月,北京羿射旭科技有限公司
4443,02-09,昆山,小微中心信贷员/客户经理,0.4-1.2万/月,昆山市中裕农村小额贷款股份有限公司
4444,02-09,深圳-福田区,商务拓展经理（深圳）,1-2万/月,杭州呯嘭智能技术有限公司
4445,02-09,杭州-西湖区,品牌策划总监/经理,0.8-1.5万/月,杭州博客汽车服务有限公司
4446,02-09,荆州,车务,4-6千/月,襄阳捷翊汽车租赁有限公司
4447,02-09,上海-静安区,人事专员,6-8千/月,上海南燕信息技术有限公司
4448,02-09,哈尔滨-南岗区,天猫运营,4-6千/月,广州易尊网络科技股份有限公司
4449,02-09,佛山-南海区,出纳会计,4-5千/月,百业云金控（广东）有限公司
4450,02-09,哈尔滨-南岗区,前台（五险）,3-4.5千/月,哈尔滨泰爱健康信息咨询有限公司
4451,02-09,乌兰察布,客服主管,3-4千/月,海城市万嘉惠商贸有限公司
4452,02-09,上海-浦东新区,溶瘤病毒研究员,0.8-1.5万/月,上海恒润生物医疗技术研究所
4453,02-09,北京-海淀区,实时数据库实施工程师,0.6-1万/月,北京中瑞泰科技有限公司
4454,02-09,杭州-江干区,前端开发工程师,0.8-1万/月,快捷通支付服务有限公司
4455,02-09,徐州,钳工,3-4.5千/月,徐州裕汇金属制造厂
4456,02-09,淮安,营运专员,3-4.5千/月,上海宝龙物业管理有限公司淮安分公司
4457,02-09,嘉兴,销售助理,3-4.5千/月,嘉兴驭光光电科技有限公司
4458,02-09,长沙,产品专员,5-8千/月,湖南长城信息金融设备有限责任公司
4459,02-09,广州,Production Operator,,亨斯迈纺织染化（中国）有限公司
4460,02-09,上海-闵行区,手游UI设计师,1.2-1.8万/月,上海免免网络科技有限公司
4461,02-09,苏州-吴江区,韩语翻译,0.4-1万/月,文邦净化系统工程（苏州）有限公司
4462,02-09,南京-秦淮区,风控主管,0.6-1万/月,中创华夏投资基金（北京）有限公司
4463,02-09,北京-丰台区,人事专员,4-5千/月,北京万峰世纪医疗器械有限公司
4464,02-09,上海-松江区,采购员,4-7千/月,上海超云模具有限公司
4465,02-09,东莞,销售经理,0.6-1.5万/月,深圳市行芝达电子有限公司
4466,02-09,上海-嘉定区,运营经理,1.5-2万/月,仪菲（上海）品牌管理有限公司
4467,02-09,无锡,日语支持（BPO业务担当）,4-8千/月,恩梯梯数据（中国）信息技术有限公司
4468,02-09,苏州-吴中区,工艺工程师,3-4.5千/月,苏州史比特照明科技有限公司
4469,02-09,上海-黄浦区,出纳,4-5千/月,上海绿谷泰坤堂投资有限公司
4470,02-09,上海,扫描电镜销售工程师,6-8千/月,泰思肯贸易（上海）有限公司
4471,02-09,徐州,信贷客户经理,0.5-1万/月,银谷普惠信息咨询（北京）有限公司...
4472,02-09,西安-高新技术...,质量体系培训业务销售代表J11209,4-6千/月,广电计量检测（西安）有限公司
4473,02-09,上海-浦东新区,技术型销售工程师（2017应届生）,6-10万/年,辉景电子科技（上海）有限公司
4474,02-09,昆山,总经理助理,3-4.5千/月,鸿运精密模具（昆山）有限公司
4475,02-09,郑州-高新区,软件测试工程师,5-7千/月,河南医联体网络技术有限公司
4476,02-09,异地招聘,高薪聘区域经理/区域销售经理,12-25万/年,山东宇程生物科技有限公司
4477,02-09,重庆-渝中区,运营政策专员,4-8千/月,海尔集团金融控股有限公司
4478,02-09,上海-徐汇区,供应链专员,4-6千/月,上海赫马家居饰品有限公司
4479,02-09,北京-海淀区,售前工程师 （互联网/企业服务）,1-1.5万/月,商助科技（北京）有限公司
4480,02-09,上海-嘉定区,包装及物流规划工程师,0.8-1万/月,上海天合汽车安全系统有限公司 Sh...
4481,02-09,成都-郫都区,销售代表,3-8千/月,郫县蜀城豆瓣厂
4482,02-09,上海-普陀区,展台设计,4-8千/月,拉码商务咨询（上海）有限公司
4483,02-09,武汉-洪山区,QT嵌入式软件工程师,0.8-1万/月,武汉怡特环保科技有限公司
4484,02-09,异地招聘,质检员,3-4.5千/月,湖北三和新构件科技有限公司
4485,02-09,武汉-东湖新技...,技术服务工程师,3-5千/月,苏州诺豪电子技术有限公司
4486,02-09,宁波,人事行政助理,3-4.5千/月,宁波神剑电器制造有限公司
4487,02-09,郑州,统计员,3-5千/月,郑州比克电池有限公司
4488,02-09,北京-昌平区,投标专员（应届生）,4-6千/月,北京万维盈创科技发展有限公司
4489,02-09,湖州,财务经理（金融税收）,15-30万/年,天能电池集团有限公司
4490,02-09,嘉兴,采购经理,1-1.5万/月,安徽山鹰纸业股份有限公司
4491,02-09,上海-闵行区,人事行政专员,4.5-6千/月,上海笑代文化传媒有限公司
4492,02-09,苏州,售后服务协调员,3.5-4.5千/月,卓越（苏州）自动化设备有限公司
4493,02-09,大连,销售无责底薪三千,6-8千/月,大连华联善古堂中医骨科医院有限公司
4494,02-09,广州-天河区,渠道业务员(无责底薪+双休+五险),5-9千/月,想象力系统科技（广州）有限公司
4495,02-09,异地招聘,财务部长,6-8千/月,武汉斯贝卡专用汽车有限公司
4496,02-09,南京,行政前台,3-4.5千/月,南京宾美装饰设计有限公司
4497,02-09,大连,化验员,2-3千/月,大连博融控股集团有限公司
4498,02-09,成都-高新区,公司行政人员,3-4.5千/月,成都蓝石景观工程设计有限公司
4499,02-09,杭州-江干区,军工资质咨询服务专员,0.8-1万/月,浙江长三角军民融合产业发展有限公司
4500,02-09,铁岭,IE工程师,4-6千/月,莱尼线束系统（铁岭）有限公司
4501,02-09,苏州,西餐厅领班,3-4.5千/月,苏州雅戈尔富宫大酒店有限公司
4502,02-09,武汉,统计员,3-4千/月,武汉中航精冲技术有限公司
4503,02-09,异地招聘,区域销售经理,0.5-1万/月,南京睿实消防安全设备有限公司
4504,02-09,济南-市中区,银行业务外访员（济南）,4.5-6千/月,上海基准商贸有限公司
4505,02-09,深圳-龙华新区,巡店督导,6-8千/月,深圳市好朋友国际品牌管理有限公司
4506,02-09,东莞,人事行政主管,7-8千/月,东莞市珠江啤酒有限公司
4507,02-09,异地招聘,人事行政专员（山东枣庄）,2.5-3.5千/月,利诚服装集团股份有限公司
4508,02-09,广州-天河区,人力资源经理,6-8千/月,广州市工长群电子商务有限公司
4509,02-09,成都-高新区,油气田集输设计,0.6-1万/月,四川佳运油气技术服务有限公司
4510,02-09,镇江,外派财务经理（镇江）,4.5-6千/月,华润江苏医药有限公司
4511,02-09,贺州,拓展总监/超市展店,0.6-1万/月,广西贺州市泰兴连锁超市有限责任公司
4512,02-09,上海-虹口区,品牌营销经理,1-1.5万/月,秀财网
4513,02-09,上海-闵行区,行政助理,4.5-6千/月,偌亚奥国际货运代理有限公司上海分...
4514,02-09,苏州-工业园区,细胞培养员,5-8千/月,同宜医药（苏州）有限公司
4515,02-09,成都,人力资源总监,0.8-1.2万/月,成都快易讯配送服务有限责任公司
4516,02-09,北京,能动英语诚聘课程销售顾问、课程咨询、销售代表,0.8-1万/月,北京程运佳慧教育科技有限公司
4517,02-09,西安-雁塔区,喷漆技师,3-4.5千/月,陕西顺智汽车维修服务有限公司
4518,02-09,无锡,轴承应用工程师,6-8千/月,无锡万泰机械进出口有限公司
4519,02-09,扬州,焊接操作工,3-4.5千/月,江苏田信塑料光纤有限公司
4520,02-09,广州-荔湾区,录单员,3-4.5千/月,广州市炳记食品有限公司
4521,02-09,昆明,奢侈品店长,,拉格代尔商业（上海）有限公司
4522,02-09,广州-花都区,日语翻译,3-4.5千/月,广州六和桐生机械有限公司
4523,02-09,上海-闵行区,仓库管理员（上海万象城店）,4-5千/月,上海阿吉豆投资管理咨询有限公司
4524,02-09,深圳-南山区,咨询经理（医美/科技美容）,1-3万/月,深圳会美医疗美容管理有限公司
4525,02-09,上海-浦东新区,"Software Engineer , Body Security(664)",2-2.5万/月,德尔福（中国）科技研发中心有限公司
4526,02-09,济南-高新区,数据编辑,3-5千/月,济南仁和汇智信息技术有限公司
4527,02-09,南通,电焊工,3-4.5千/月,南通爱慕希机械股份有限公司
4528,02-09,深圳-福田区,法务专员,15-22万/年,深圳市特发地产有限公司
4529,02-09,郑州-二七区,财务会计专员,2-3千/月,河南奥和派贸易有限公司
4530,02-09,上海,总经理助理,1-1.5万/月,上海蓝诺新能源技术有限公司
4531,02-09,天津-滨海新区,C#软件开发工程师,0.6-1万/月,天津金信通软件技术有限公司
4532,02-09,上海-浦东新区,销售助理,4.5-6千/月,金诃藏药股份有限公司
4533,02-09,上海-松江区,大型企业医务室医生（工作地点：松江）,6-8千/月,上海泰福健康管理咨询有限公司
4534,02-09,北京-顺义区,人事专员,3-4.5千/月,北京华远仁丰科技咨询有限公司
4535,02-09,上海-青浦区,Notes担当,4.5-6千/月,上海鼎修天工贸有限公司
4536,02-09,上海,竞价专员,5-8千/月,上海新起点康复医院有限公司
4537,02-09,杭州,播音主持专业（或表演专业）艺术老师（全职）,0.5-1.5万/月,大连澳邦致和物业服务有限公司
4538,02-09,南京-建邺区,效果图规划图制作,0.5-1万/月,南京大无文化传媒有限公司
4539,02-09,广州-天河区,技术合伙人/合伙团队,1.5-2万/月,广州金炫信息科技有限公司
4540,02-09,海宁,天猫旗舰店运营,0.8-1万/月,浙江厨壹堂厨房电器股份有限公司
4541,02-09,天津-滨海新区,日语人事担当,4.5-6千/月,阪东机带（天津）有限公司
4542,02-09,异地招聘,模具设计工程师,6-8千/月,惠州麦丰密封科技有限公司
4543,02-09,石家庄,人力资源主任,6-8千/月,同方全球人寿保险有限公司北京分公司
4544,02-09,青岛-崂山区,3D会展设计师（8人）,4-6千/月,青岛时空文化集团有限公司
4545,02-09,上海-松江区,Mechatronics Mechanic (Job-ID: 16640),,采埃孚（中国）投资有限公司
4546,02-09,杭州,销售（一对一带教，带薪培训）储备店经理,0.8-1万/月,浙江绿城房屋置换有限公司
4547,02-09,徐州,运营总监,6-8千/月,徐州乐淘网络科技有限公司
4548,02-09,济南-历城区,外贸业务员,0.6-1万/月,济南泉华包装制品有限公司
4549,02-09,杭州-拱墅区,销售代表（双休+五险一金）,0.8-1.6万/月,杭州快抢车网络科技有限公司
4550,02-09,异地招聘,研发工程师,1-1.5万/月,珠海市创元电子材料有限公司
4551,02-09,异地招聘,小车司机,6-8千/月,江苏太平洋建设有限公司
4552,02-09,上海-闵行区,烘焙技术服务支持,0.6-1万/月,理研维他精化食品工业（上海）有限...
4553,02-09,南京-六合区,网络推广专员,3.5-5千/月,南京蓬生电子技术有限公司
4554,02-09,无锡,保安主管安保主管,4-5千/月,无锡天朗文商旅投资管理有限公司
4555,02-09,南京-浦口区,抗体研发部经理,1-1.5万/月,南京融捷康生物科技有限公司
4556,02-09,湛江,会计,4-5千/月,湛江华融商贸物流城机动车检测服务...
4557,02-09,珠海-香洲区,行政人事,4-5千/月,珠海华澳伟业能源有限公司
4558,02-09,泸州,收银员（泸州店）,2-3千/月,重庆大玩小乐游乐有限公司
4559,02-09,青岛-李沧区,证券客户经理,10-15万/年,中泰证券股份有限公司青岛大崂路证...
4560,02-09,青岛-市北区,质检主管,3.5-5千/月,青岛四机设备工程有限公司
4561,02-09,郑州,行政助理,2-3千/月,郑州广融房地产营销策划有限公司
4562,02-09,南通,网站运营,2.5-4千/月,南通奥特威进出口有限公司
4563,02-09,武汉-武昌区,总账会计/会计主管,3.5-4千/月,湖北神农保健品有限公司
4564,02-09,异地招聘,Waste Water and Leachate Engineer,1.5-2.5万/月,欧晟绿色燃料（揭阳）有限公司
4565,02-09,上海,项目助理（战略发展部）,5-6.5千/月,上海复旦医院管理有限公司
4566,02-09,昆山,策划文案,4.5-6千/月,苏州通广尚品广告有限公司
4567,02-09,上海-金山区,市场专员,4.5-6千/月,汉瑞普泽粉粒体技术（上海）有限公司
4568,02-09,上海,前台文员,3-4.5千/月,上海博优测试技术有限公司
4569,02-09,长沙,电工,3-4.5千/月,湖南能翔优卡新能源汽车运营有限公司
4570,02-09,广州-增城,电工 组装工,3-4万/年,广州标格达实验室仪器用品有限公司
4571,02-09,南京,综合自动化副总经理,20-30万/年,南京轨道交通系统工程有限公司
4572,02-09,西安-未央区,辛家庙华远君城招房产经纪人,5-8千/月,西安高和房地产经纪有限公司
4573,02-09,上海,采购助理（AI-DG-SHB）,3.5-5千/月,阿耐思特岩田产业机械（上海）有限...
4574,02-09,青岛,投行业务部专员,10-15万/年,信达证券股份有限公司青岛麦岛路证...
4575,02-09,上海,高级系统工程师,1.5-2.5万/月,上海外服宝信信息技术有限公司
4576,02-09,义乌,招商专员/行政助理,4.5-6千/月,伯乐遇马天使投资有限公司
4577,02-09,常州,系统管理员/网络管理员,4.5-6千/月,常州发创软件有限公司
4578,02-09,广州-白云区,高薪诚聘人力资源部经理,0.5-1万/月,广州市力梵体育用品有限公司
4579,02-09,济南,订单管理工程师,3.7-6.3千/月,济南金麒麟刹车系统有限公司
4580,02-09,沈阳-皇姑区,大堂经理,4-6千/月,沈阳市百时教育培训中心
4581,02-09,上海-闵行区,电商运营经理/淘宝/京东/运营主管/渠道经理,0.7-2万/月,上海凡家贸易有限公司
4582,02-09,石家庄,（双休）运营专员,3-5千/月,河北协科网络科技有限公司
4583,02-09,常熟,网络推广专员,4-6千/月,常熟市星火教育科技有限公司
4584,02-09,上海-浦东新区,外贸采购助理,4.5-6千/月,中航兰田汽车销售服务（上海）有限...
4585,02-09,常熟,家纺车间主任,6-8千/月,苏州创宇织造有限公司
4586,02-09,北京-大兴区,网站平台运营专员（工作地点：亦庄）,5-8千/月,北京瑞源文德科技有限公司
4587,02-09,上海-浦东新区,融资主管,6-8千/月,上海巨腾实业集团有限公司
4588,02-09,广州-天河区,市场部经理,0.8-1万/月,广东亚臻网络科技有限公司
4589,02-09,上海-长宁区,出单员,4.5-6千/月,上海国环融资租赁有限公司
4590,02-09,上海-青浦区,财务助理,5-7千/月,上海牧仁生物科技有限公司
4591,02-09,上海,出纳,4-4.5千/月,上海卓越机械有限公司
4592,02-09,上海-闵行区,市场专员（急聘）,6-8千/月,上海高登商业展览有限公司
4593,02-09,西安-高新技术...,研发中心主任工程师,0.7-1万/月,西安陆海地球物理科技有限公司
4594,02-09,苏州,销售代表（苏州）,1-1.5万/月,朗盟医药信息咨询（上海）有限公司
4595,02-09,上海,护工管理员/现场督导,3.8-4千/月,上海复医健康管理咨询有限公司
4596,02-09,上海-金山区,客服专员（创业见习）,4-4.5千/月,上海新跃物流企业管理有限公司
4597,02-09,深圳,报关员,4.5-6千/月,深圳市方鼎供应链服务有限公司
4598,02-09,北京,财务专员,4.5-6千/月,康展医疗
4599,02-09,上海,销售代表（软件产品+综合薪资可观）,0.8-1.5万/月,商客通尚景科技（上海）股份有限公司
4600,02-09,上海-虹口区,财务经理,1-1.5万/月,骏高国际货运（中国）有限公司
4601,02-09,上海,智能机器人交互逻辑编辑员,5-8千/月,北京捷通华声科技股份有限公司上海...
4602,02-09,上海-黄浦区,出纳兼财务助理,5-6千/月,上海嵘华品牌管理有限公司
4603,02-09,杭州-拱墅区,审核专员,3-4.5千/月,昇融资产管理有限公司
4604,02-09,上海-闵行区,针织面料设计师助理,3-5千/月,上海沁岚针织服饰有限公司
4605,02-09,北京-东城区,资料员,3-4.5千/月,北京广厦泰祥建设项目管理有限公司
4606,02-09,无锡,网络监控工程师,4-6千/月,无锡联云世纪科技股份有限公司
4607,02-09,北京-海淀区,财务专员,4.5-6千/月,北京市大西洋仪器工程有限责任公司
4608,02-09,潜江,纸样师,4.5-6千/月,利维高户外运动用品（湖北）有限公司
4609,02-09,沈阳-大东区,招生老师 咨询顾问,0.6-1.5万/月,辽宁行知出国留学服务有限公司
4610,02-09,上海-松江区,装配工,3-4千/月,上海康狄机械科技有限公司
4611,02-09,上海-浦东新区,人事主管,6-8千/月,上海旺田信息技术有限公司
4612,02-09,常州,电话销售,3-4.5千/月,常州宏大智能装备产业发展研究院有...
4613,02-09,上海,壁挂炉技术服务（上海）,6-8千/月,青岛法罗力暖通温控技术设备制造有...
4614,02-09,上海-松江区,投资经理,2.5-3.5万/月,上海质慧新能源科技有限公司
4615,02-09,福州-连江县,Chemical Analyst化学分析员,3-4.5千/月,液化空气（福州）有限公司
4616,02-09,昆明,空调维修、维护,4.5-6千/月,云南天威机电设备安装工程有限公司
4617,02-09,无锡-梁溪区,采购内控,3-4.5千/月,康德乐（无锡）医药有限公司
4618,02-09,苏州,采购管理兼仓库管理员,3-4.5千/月,苏州盖德精细材料有限公司
4619,02-09,南京-江宁区,机械工程师,0.8-1.2万/月,东南大学—南京生物材料与医疗器械...
4620,02-09,异地招聘,房地产销售,10-15万/年,广西港源房地产开发有限公司
4621,02-09,异地招聘,销售内勤,5.5-6.5千/月,济南邦德激光股份有限公司
4622,02-09,合肥,销售内勤,3-4.5千/月,合肥瑶海区洁宇母婴用品商行
4623,02-09,上海-静安区,新媒体运营,4.5-6千/月,慧信财富管理有限公司
4624,02-09,成都,质量安全专员,0.7-1万/月,四川蓝光生态环境产业有限公司
4625,02-09,上海,客服专员,5-6千/月,上海宏汇置业有限公司
4626,02-09,杭州,企业文化专员,6-8万/年,浙江祥生房地产开发有限公司
4627,02-09,上海-嘉定区,财务经理（江桥万达）,1-1.5万/月,上海万达广场商业管理有限公司
4628,02-09,南京,商务专员,4.5-6千/月,南京西巨电子技术有限公司
4629,02-09,济南-高新区,市场营销总监,10-15万/年,济南中基作物科学有限公司
4630,02-09,嘉兴,生产班组长,4.5-6千/月,嘉兴亮通照明有限公司
4631,02-09,深圳-罗湖区,人事助理,4-5千/月,深圳市行芝达电子有限公司
4632,02-09,异地招聘,半导体设备维修工程师,0.8-1万/月,苏斯贸易（上海）有限公司
4633,02-09,南通,外贸经理/外贸主管/贸易业务员,0.5-1万/月,南通艾菲尔服饰有限公司
4634,02-09,福州-仓山区,供应链高级经理,12-15万/年,福建富兰光学有限公司
4635,02-09,异地招聘,销售助理,3-4.5千/月,永华化学科技（江苏）有限公司
4636,02-09,邵阳,邵阳车贷专员/五险双休,0.6-1万/月,义乌微锐网络科技有限公司长沙分公司
4637,02-09,宁波-鄞州区,会计,4.5-6千/月,宁波欣达投资有限公司
4638,02-09,南京,数控冲编程员,3-4千/月,南京瑞图电气设备厂
4639,02-09,郑州,外贸 美工,3-4.5千/月,河南鼎丰机械制造有限公司
4640,02-09,上海-浦东新区,司机,3-4.5千/月,上海澳锐商贸有限公司
4641,02-09,廊坊,导购,6-8千/月,廊坊市安次区南龙道欧绅家具销售处
4642,02-09,无锡-滨湖区,知识高级经理,1-1.5万/月,无锡灵山文化旅游集团有限公司
4643,02-09,武汉-洪山区,微信售前咨询,3-8千/月,武汉千智通投资咨询管理有限公司
4644,02-09,上海-松江区,运营助理,3-4.5千/月,仕库（上海）商贸发展有限公司
4645,02-09,深圳-罗湖区,国际海运集装箱运输业务代表,6-8千/月,广州市速运网络股份有限公司
4646,02-09,无锡-滨湖区,电子商务,3-4.5千/月,无锡零界净化设备股份有限公司
4647,02-09,深圳-南山区,包装设计师,0.6-1万/月,深圳市蜀山策划设计有限公司
4648,02-09,宁波,财务助理/会计助理（五险一金+双休+地铁口）,3-4.5千/月,宁波恒周贸易有限公司
4649,02-09,上海,海运出口操作,4.5-6千/月,骛德华舜物流（上海）有限公司
4650,02-09,南京-秦淮区,证券分析师,6-8千/月,南京迅展投资管理有限公司
4651,02-09,异地招聘,机器人培训老师,4.5-6千/月,广州市能人教育科技有限公司
4652,02-09,上海-浦东新区,人力资源经理,1.5-2万/月,上海丝苑商贸有限公司
4653,02-09,南京,项目经理J11675,0.8-1万/月,方正国际软件（北京）有限公司
4654,02-09,北京-朝阳区,大客户销售,1-1.5万/月,今运阳光投资顾问（北京）有限公司
4655,02-09,南京,销售经理,0.8-1万/月,北京每日优鲜电子商务有限公司
4656,02-09,青岛-市北区,土建施工项目经理,6-8千/月,青岛环宇绿洁新能源科技工程有限公司
4657,02-09,深圳,行政人事主管,6-8千/月,深圳市前海易路通供应链有限公司
4658,02-09,襄阳,奶粉营养师,3-4.5千/月,湖北省寰睿进出口贸易有限公司
4659,02-09,郑州-经开区,包住 置业顾问 年底奖车 底薪+提成上不封顶,3-4.5千/月,郑州优旭房地产营销策划有限公司
4660,02-09,泉州,运营合伙人,100万以上/年,石狮兴进房地产开发有限公司
4661,02-09,上海-静安区,销售（高提成）,0.3-1万/月,上海空猎环保科技有限公司
4662,02-09,无锡,客户关系主管,4.5-6千/月,无锡永达东方汽车销售服务有限公司
4663,02-09,哈尔滨-香坊区,前台兼人事专员,2-3千/月,中企动力科技股份有限公司哈尔滨分...
4664,02-09,昆明-盘龙区,厨房操作人员,2-3千/月,云南号外食品有限公司
4665,02-09,郑州,美容顾问，年均50万元左右，免费海外旅游,50-100万/年,韩城金鸿日用品经销店
4666,02-09,上海-杨浦区,制冷维修工程师,5-6.5千/月,上海费沐设施管理有限公司
4667,02-09,异地招聘,项目总/储备城市总,6-8千/月,朗诗集团股份有限公司
4668,02-09,北京-房山区,文案编辑,6-8千/月,华安瑞成（北京）国际投资基金管理...
4669,02-09,北京-朝阳区,招聘专员 HRBP,0.8-1万/月,北京金咖杯餐饮管理有限公司
4670,02-09,武汉,工程资料员（绿城地产）,4-8千/月,武汉绿城建发房地产有限公司
4671,02-09,武汉,生产班长,3-4.5千/月,武汉华森塑胶有限公司
4672,02-09,北京-朝阳区,业务员,4.5-6千/月,北京艾博唯科技有限公司
4673,02-09,上海-奉贤区,质检员,4-6千/月,上海凯宝药业股份有限公司
4674,02-09,异地招聘,结构工程师,0.8-1万/月,必扬星环（北京）航空科技有限公司
4675,02-09,无锡-无锡新区,会计,4.5-6千/月,无锡纽科电子科技有限公司
4676,02-09,南昌,行政助理,6-8千/月,南昌协一科技有限公司
4677,02-09,上海-徐汇区,销售助理,3-4.5千/月,上海潮乡源食品有限公司
4678,02-09,深圳-宝安区,行政文员助理,3-3.5千/月,深圳优品易购电子商务有限公司
4679,02-09,上海,市场经理,0.8-1万/月,瑞尔华东-上海圣彬医疗咨询服务有...
4680,02-09,宁波-鄞州区,会计,2-7千/月,宁波江东天茂税务咨询有限公司
4681,02-09,上海-虹口区,业务精英,0.8-1万/月,深圳市联集国际货运代理有限公司
4682,02-09,苏州-吴中区,人事行政专员,3-4.5千/月,瑞田汽车压缩机（江苏）有限公司
4683,02-09,北京,科技情报分析师,0.8-1万/月,北京市鑫海威信息中心
4684,02-09,苏州-高新区,资深机械设计工程师,15-25万/年,苏州佳祺仕信息科技有限公司
4685,02-09,杭州-滨江区,销售代表,20-30万/年,上海袋虎信息技术有限公司杭州分公司
4686,02-09,无锡,Senior HR Business Partner/高级人力资源业务伙伴_PS,,博世汽车柴油系统有限公司
4687,02-09,常州,仓库统计员,3-4.5千/月,常州棉之初服饰有限公司
4688,02-09,上海,Product Manager for Automotive Steering/产品经理_AA,,博世汽车技术服务（中国）有限公司
4689,02-09,苏州,Sales Engineer/大客户销售(通用)_CC,,博世汽车部件（苏州）有限公司
4690,02-09,马鞍山,采购助理,3-4.5千/月,马鞍山联洪合成材料有限公司
4691,02-09,昆明,销售顾问2000无责任底薪+月休4天,0.8-1万/月,昆明尊园房地产经纪有限公司
4692,02-09,青岛,业务代表,0.4-1万/月,上药控股青岛有限公司
4693,02-09,南通,分校校长,20-30万/年,南通行晏教育咨询有限公司
4694,02-09,无锡-江阴市,IOS开发工程师,6-8千/月,江苏巡天网络科技有限公司
4695,02-09,上海-松江区,销售助理,4.5-6千/月,上海东全机械工程制品有限公司
4696,02-09,马鞍山,项目经理（高级机械工程师）,8-15万/年,马鞍山市双益机械制造有限公司
