,time,location,duty,sallary,name
68,02-09,北京-海淀区,数值策划,1.2-1.5万/月,北京奇客创想科技股份有限公司
69,02-09,北京-朝阳区,总监助理/秘书,1-1.5万/月,北京互连众信科技有限公司
70,02-09,佛山,客服专员,2.5-4千/月,佛山市斯加文化传播有限公司
71,02-09,上海-虹口区,优秀外贸业务员,0.8-1万/月,赛诺韦尔实业（上海）有限公司
72,02-09,重庆-渝北区,电话营销+无责任底薪五险,0.5-1万/月,重庆乾玺装饰工程有限公司
73,02-09,杭州,机械绘图员,5-7千/月,杭州科百特过滤器材有限公司
74,02-09,重庆,网页美工,4-5千/月,重庆聚合科技有限公司
75,02-09,成都-高新区,电商运营主管,4.5-6千/月,成都星环科技有限公司
76,02-09,长沙,大客户经理/KA(急招）,1.5-2万/月,客如云科技（北京）股份有限公司
77,02-09,深圳,市场专员,4.5-6千/月,深圳市鸿兴业食品有限公司
78,02-09,上海-闵行区,工艺技术部经理/主管,1-1.3万/月,上海黄色小鸭贸易有限公司
79,02-09,乌鲁木齐,培训主任,4-6千/月,天狮集团有限公司中国区
80,02-09,南昌,档案管理员,4-6千/月,国盛证券有限责任公司
81,02-09,苏州-工业园区,行政助理,3.5-4.5千/月,图玛深维医疗科技（北京）有限公司
82,02-09,广州,模型算法优化设计人员,1.5千以下/月,广州亦云信息技术股份有限公司
83,02-09,武汉-武昌区,广告AE,2-4千/月,武汉市武昌区启蕴小额贷款有限公司
84,02-09,上海-徐汇区,学术推广代表,10-15万/年,上药控股有限公司
85,02-09,济南-天桥区,烘焙师,4.5-5.5千/月,济南佳禾食品有限公司
86,02-09,武汉,运营专员,3-4千/月,武汉瑞和行企业管理咨询有限公司
87,02-09,杭州,数据分析主管,8-10万/年,浙江省人才市场
88,02-09,上海-浦东新区,无责底薪5K+住宿+提成 世基诚招金融销售/投资实习生,0.8-1万/月,上海世基投资顾问有限公司-钱江事...
89,02-09,广州-天河区,6K 英语老师（五险一金）,6-8千/月,广州考拉超课教育科技有限公司
90,02-09,广州,财务会计,4-6千/月,广州市西美信息科技有限公司
91,02-09,广州-黄埔区,日语技术课长（某日资汽车零配件公司NO:10079283）,0.8-1.2万/月,英创人才服务（上海）有限公司广州...
92,02-09,上海,QA Manager/质量保证经理,,巴斯夫上海涂料有限公司
93,02-09,广州-海珠区,设计组长/设计主管,5-6.8千/月,广州锐点文化发展有限公司
94,02-09,杭州,室分经理,0.8-1万/月,上海国动网络通信有限公司杭州分公司
95,02-09,上海-浦东新区,客服专员,4-5千/月,北京艾提科信网络技术有限公司上海...
96,02-09,深圳-宝安区,会计,4-5.5千/月,永余电子科技（深圳）有限公司
97,02-09,广州-天河区,游泳教练（五险一金+双休+带薪年假+包住）,0.3-1万/月,广州小漾体育培训有限公司
98,02-09,兰州,校招岗-商用PC渠道销售,10-14万/年,中国惠普有限公司
99,02-09,苏州-高新区,人事行政专员,3-4.5千/月,苏州隆鑫包装科技有限公司
100,02-09,昆明,商贸招商经理,6-8千/月,云南浩宏物流有限公司
101,02-09,长春,金融投资顾问（FC）,1-1.5万/月,恒天财富长春分公司
102,02-09,深圳,资料开发/技术文档工程师,0.8-1.5万/月,深圳市越疆科技有限公司
103,02-09,福州-马尾区,建筑工程师,5-9千/月,志品(福州)技术工程有限公司
104,02-09,青岛,行政前台（双休/五险一金）,3-4.5千/月,青岛蓝鲸创意展览展示有限公司
105,02-09,海口,城市级充电方案总监,0.8-1万/月,海南鼎充新能源技术有限公司
106,02-09,异地招聘,法务专员,5-8千/月,Tymphany
107,02-09,深圳-福田区,人事行政,5-8千/月,深圳市麦肯标识有限公司
108,02-09,深圳-罗湖区,外贸采购员,4.5-6千/月,香港光宇科技发展有限公司深圳代表处
109,02-09,异地招聘,销售代总监,1.5千以下/月,海口琼山金花华牛贸易商行
110,02-09,珠海,招商专员,6-8千/月,珠海市泰隆发展有限公司
111,02-09,天津,审查专员,4-5千/月,和运国际租赁有限公司
112,02-09,绵阳,物资管理专员,4-5万/年,绵阳交通发展集团有限责任公司
113,02-09,成都-高新区,调查员,4.5-6千/月,四川盛宝龙科技有限公司
114,02-09,广州-天河区,手游产品运营,5-8千/月,海南奇遇天下网络科技有限公司
115,02-09,长沙-天心区,本部营业区经理（分公司本部）,0.8-1万/月,恒大人寿保险有限公司湖南分公司
116,02-09,北京-朝阳区,市场主管（急招   10K-15K）,1-1.5万/月,北京承易启慧教育科技有限公司
117,02-09,中山,生产工程师,4.5-6千/月,中山市华艺灯饰照明股份有限公司
118,02-09,杭州-余杭区,活动策划专员,4-7千/月,杭州介百文化创意有限公司
119,02-09,佛山-禅城区,销售主任(001009),0.8-1万/月,康宝莱（中国）保健品有限公司上海...
