,location,time,sallary,name,duty
8485,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,总经理（金融）
8486,异地招聘,3月12日,7-10万/月,青岛纽森商务有限公司,总裁（青岛、潍坊）
8487,异地招聘,3月12日,7-10万/月,青岛纽森商务有限公司,总裁（青岛、潍坊）
8488,青岛,3月12日,7-10万/月,青岛纽森商务有限公司,总裁（青岛、潍坊）
8489,北京-西城区,3月12日,60-80万/年,中投中财基金管理有限公司,投资公司副总裁
8490,深圳,3月12日,100万以上/年,南京广深信息科技有限公司,总经理（某高科技公司）
8491,杭州-西湖区,3月12日,5-7万/月,宜信卓越财富投资管理（北京）有限...,家庭财富规划顾问
8492,北京-朝阳区,3月12日,5-7万/月,宜信卓越财富投资管理（北京）有限...,DBM(10019233)
8493,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,总经理
8494,北京-西城区,3月12日,80-150万/年,中投中财基金管理有限公司,足球培训公司总裁
8495,北京-西城区,3月12日,60-100万/年,中投中财基金管理有限公司,军民融合产业基金副总裁
8496,上海-浦东新区,3月12日,10万以上/月,中投中财基金管理有限公司,健康基金公司总裁
8497,杭州,3月12日,5-7万/月,宜信卓越财富投资管理（北京）有限...,智享中心经理(10015961)
8498,广州-番禺区,3月11日,80-100万/年,广东海之鑫投资有限公司,总经理
8499,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,高级管理层
8500,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,金融总监
8501,北京-西城区,3月12日,10万以上/月,中投中财基金管理有限公司,健康基金公司总裁
8502,杭州-下城区,3月12日,80-160万/年,幻方量化,资深量化策略研究员
8503,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,金融总监
8504,深圳,3月12日,60-80万/年,努比亚技术有限公司,游戏产品岗
8505,深圳,3月12日,100万以上/年,努比亚技术有限公司,首席游戏官
8506,惠州,3月12日,60-100万/年,新力惠州城市公司,设计副总监
8507,上海-闵行区,3月12日,10万以上/月,霍夫曼工具贸易（上海）有限公司,IT 主管 IT Supervisor
8508,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,总经理
8509,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,总经理
8510,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,总经理
8511,异地招聘,3月12日,5-8万/月,奥海集团,营销VP
8512,上海-静安区,3月12日,60-80万/年,中原地产（中国上海）,中原地产工商铺部直招
8513,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,总经理
8514,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,总经理（金融）
8515,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,总经理（金融）
8516,上海,3月11日,5-7万/月,上海帝博企业管理咨询有限公司,"Finance Director, 财务总监，欧美汽车制造领先集团"
8517,上海-静安区,3月12日,60-80万/年,中原地产（中国上海）,中原地产工商铺部直招
8518,武汉-武昌区,3月12日,60-80万/年,当代君合投资有限公司,建筑设计总监
8519,上海,3月11日,5-7万/月,上海帝博企业管理咨询有限公司,全国销售总监-行业No.1，汽车后市场欧美企业
8520,上海,3月11日,100万以上/年,香港蝶恋花企业国际有限公司,电商合伙人/分公司经理
8521,广州-天河区,3月11日,10万以上/月,中国平安人寿保险股份有限公司广州...,高菥聘请互联网金融投股资经理
8522,上海-浦东新区,3月12日,7-10万/月,上海贝肯投资管理有限公司,财富公司合伙人/副总裁（陆家嘴金融公司）
8523,广州-番禺区,3月12日,300元/小时,广州市白云区和鑫服装厂,淘宝试衣彩妆平面微胖模特
