,sallary,location,duty,name,time
14141,30-40万/月,江苏省,投资部经理/副经理,南京临江御景房地产开发有限公司,2月7日
14142,70-100万/年,苏州,Plant Manager（工厂经理)-美资企业,南京麦芒企业管理咨询有限公司,2月7日
14143,65-80万/年,上海-长宁区,Sr. SDE mgr（高级供应商开发经理）-美资汽车公司,南京麦芒企业管理咨询有限公司,2月7日
14144,5-7万/月,异地招聘,市场推广专员,广州市蓝澳酒业有限公司,2月7日
14145,5-7万/月,深圳-福田区,国际学校执行副校长,深圳华特尔集团有限公司,2月7日
14146,300元/小时,异地招聘,周末神秘顾客,博圣轩（北京）投资顾问有限公司上...,2月7日
14147,100万以上/年,常州,General Manager,广州市泰能人力资源咨询有限公司,2月7日
14148,5-7万/月,北京,营运总监,美巢集团股份公司,2月7日
14149,10万以上/月,深圳-坪山区,高级工艺工程师,深圳信立泰药业股份有限公司,2月7日
14150,10万以上/月,惠州,高级技术工程师,深圳信立泰药业股份有限公司,2月7日
14151,10万以上/月,深圳-坪山区,工艺工程师,深圳信立泰药业股份有限公司,2月7日
14152,10万以上/月,深圳-坪山区,高级技术工程师,深圳信立泰药业股份有限公司,2月7日
14153,10万以上/月,莆田,医药代表,深圳信立泰药业股份有限公司,2月7日
14154,10万以上/月,临沂,区域销售经理,贵州正鑫实业有限公司,2月7日
14155,10万以上/月,潍坊,招商经理,贵州正鑫实业有限公司,2月7日
14156,10万以上/月,异地招聘,基金经理,上海林熙投资管理有限公司,2月7日
14157,10万以上/月,异地招聘,基金经理,上海林熙投资管理有限公司,2月7日
14158,10万以上/月,南京,基金经理,上海林熙投资管理有限公司,2月7日
14159,5000元/天,深圳-南山区,IT咨询顾问（***）,正中投资集团有限公司,2月7日
14160,20-35万/月,广州-天河区,销售总监（院校合作）,普谛恩（中国）国际文化发展有限公司,2月7日
14161,9999元/天,哈尔滨-道里区,招聘房产抵押贷款专员，无需上班,平安普惠投资咨询有限公司哈尔滨中...,2月7日
14162,9999元/天,哈尔滨-道里区,招聘房产抵押贷款专员，无需上班,平安普惠投资咨询有限公司哈尔滨中...,2月7日
14163,150-160万/年,北京,环保研究院院长,广州铂桥企业管理咨询有限公司,2月7日
14164,10万以上/月,上海,销售经理,上海钜晶精密仪器制造有限公司,2月7日
14165,100-200万/年,北京,第三终端省区/大区总经理,成都百裕制药股份有限公司,2月7日
14166,100-200万/年,成都,第三终端省区/大区总经理,成都百裕制药股份有限公司,2月7日
14167,100-200万/年,石家庄,第三终端省区/大区总经理,成都百裕制药股份有限公司,2月7日
14168,100万以上/年,厦门,大客户服务部副总经理,上海轩天实业有限公司,2月7日
14169,100万以上/年,厦门,项目营销总经理,上海轩天实业有限公司,2月7日
14170,5-7万/月,上海-黄浦区,40-80k急招金融银行架构师,上海洪汇商贸有限公司,2月7日
14171,5-7万/月,佛山,国际高中中方校长,广东梅沙教育发展有限公司,2月7日
14172,80-120万/年,西安-碑林区,常务副总,陕西瑞普泰华实业有限公司,2月7日
14173,5-7万/月,杭州-萧山区,行政助理,杭州博安实业有限公司,2月7日
14174,80-100万/年,江门,投资拓展总监,华夏幸福基业股份有限公司,2月7日
14175,5-7万/月,上海-浦东新区,市场总监,资邦金服网络科技集团有限公司,2月7日
14176,60-80万/年,重庆,投资拓展总监,广州富力地产（重庆）有限公司,2月7日
14177,80-200万/年,惠州,项目总经理,恒大地产集团珠三角房地产开发有限...,2月7日
